STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130101,0,-9999,0,0,-66
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130102,0,-9999,0,-38,-171
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130103,0,-9999,0,6,-160
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130104,0,-9999,0,-5,-82
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130105,0,-9999,-9999,39,-127
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130106,0,-9999,0,28,-55
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130107,0,-9999,0,28,-116
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130108,0,-9999,0,72,-82
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130109,0,-9999,-9999,106,-10
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130110,36,-9999,0,83,-16
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130111,208,0,0,150,83
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130112,295,0,0,189,128
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130113,439,0,0,183,-38
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130114,0,0,0,-32,-77
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130115,0,0,0,11,-71
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130116,0,0,0,17,-16
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130117,0,0,0,61,-43
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130118,0,0,0,56,-77
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130119,0,0,0,122,33
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130120,0,0,0,72,-43
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130121,0,0,-9999,-43,-110
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130122,0,0,0,-77,-149
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130123,0,0,0,-5,-127
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130124,0,0,-9999,-32,-116
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130125,5,-9999,-9999,-10,-66
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130126,0,-9999,0,17,-82
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130127,48,-9999,-9999,44,-60
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130128,102,0,0,144,39
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130129,0,0,0,194,133
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130130,251,0,-9999,200,-27
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130131,3,0,-9999,-5,-121
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130201,0,-9999,-9999,-88,-149
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130202,20,-9999,-9999,-10,-99
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130203,0,-9999,-9999,-27,-116
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130204,3,-9999,-9999,44,-110
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130205,0,-9999,0,39,-66
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130206,0,-9999,0,28,-21
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130207,36,0,0,161,-10
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130208,0,0,0,78,-5
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130209,0,0,0,61,-49
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130210,69,0,0,111,17
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130211,0,0,0,117,22
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130212,0,0,0,72,-43
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130213,0,0,0,67,-10
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130214,0,0,0,111,-5
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130215,0,0,-9999,39,-60
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130216,0,0,0,-16,-71
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130217,0,0,0,22,-110
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130218,99,0,0,144,-27
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130219,25,0,-9999,83,-49
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130220,0,0,0,-21,-99
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130221,76,0,-9999,6,-93
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130222,8,-9999,-9999,28,-5
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130223,0,0,0,33,-49
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130224,0,0,0,72,-66
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130225,0,0,0,83,-43
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130226,297,0,0,67,17
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130227,13,0,-9999,44,0
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130228,3,-9999,-9999,28,0
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130301,8,0,-9999,22,-5
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130302,0,0,-9999,0,-27
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130303,0,0,-9999,28,-71
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130304,0,0,-9999,44,-71
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130305,66,0,-9999,44,-16
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130306,10,-9999,-9999,0,-16
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130307,0,-9999,0,22,-21
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130308,0,-9999,0,83,-49
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130309,0,-9999,0,133,6
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130310,8,0,0,194,100
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130311,46,0,0,133,11
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130312,3,0,-9999,72,0
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130313,3,-9999,-9999,6,-49
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130314,13,0,-9999,56,-77
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130315,0,0,0,128,-43
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130316,3,0,0,156,22
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130317,165,0,-9999,39,6
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130318,142,0,0,72,17
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130319,0,0,0,61,-27
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130320,0,0,-9999,11,-43
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130321,0,0,-9999,22,-71
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130322,0,0,0,78,-88
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130323,0,0,0,128,17
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130324,86,-9999,-9999,50,-10
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130325,10,-9999,-9999,6,-16
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130326,0,-9999,-9999,33,-16
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130327,0,-9999,0,72,-38
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130328,0,-9999,0,111,-55
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130329,0,0,0,133,-21
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130330,0,0,0,156,-27
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130331,8,0,0,156,78
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130401,0,0,-9999,106,-5
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130402,0,0,0,89,-55
GHCND:USW00003893,BLOOMINGTON MONROE CO AIRPORT IN US,20130403,0,0,0,106,-66
