STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130101,3,152,8,-6,-100
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130102,0,127,0,-56,-150
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130103,0,127,0,-11,-122
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130104,0,127,0,-17,-78
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130105,3,127,0,33,-78
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130106,0,76,0,17,-39
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130107,0,76,0,22,-89
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130108,0,51,0,61,-50
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130109,25,0,0,89,-6
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130110,23,0,0,67,-11
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130111,272,0,0,144,67
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130112,325,0,0,178,78
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130113,323,0,0,133,-56
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130114,0,0,0,-50,-89
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130115,0,0,0,-11,-72
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130116,0,0,0,6,-50
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20130117,0,0,0,44,-61
