STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130101,0,-9999,0,-21,-116
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130102,0,-9999,0,-60,-166
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130103,0,-9999,0,-10,-105
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130104,0,-9999,0,-10,-110
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130105,0,-9999,-9999,11,-82
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130106,0,-9999,0,17,-55
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130107,0,-9999,0,11,-99
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130108,0,-9999,0,50,-55
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130109,0,-9999,0,94,-32
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130110,117,-9999,0,72,-49
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130111,109,0,0,133,72
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130112,135,0,0,150,33
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130113,163,0,-9999,39,-82
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130114,0,0,-9999,-60,-110
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130115,0,0,0,-21,-99
GHCND:USW00014835,LAFAYETTE PURDUE UNIVERSITY AIRPORT IN US,20130116,0,0,0,22,-77
