STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100101,2,-666,-666,6,-666,-666,15,-666,-666,1,1,1,1,134,50,2,0,42,-9999,13,7,77,24,-9999,6,-9999,354,198,453,255,65,65,78,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100102,2,-666,-666,6,-666,-666,15,-666,-666,2,2,2,2,133,50,2,0,42,-9999,13,7,77,23,-9999,6,-9999,354,198,453,255,65,65,78,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100103,2,-666,-666,6,-666,-666,14,-666,-666,4,2,4,2,133,50,2,0,42,-9999,13,6,77,23,-9999,6,-9999,354,199,454,255,65,65,78,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100104,2,-666,-666,6,-666,-666,14,-666,-666,5,3,5,3,133,50,2,0,41,-9999,13,6,78,24,-9999,6,-9999,355,200,455,255,66,65,78,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100105,2,-666,-666,6,-666,-666,14,-666,-666,6,4,6,4,133,50,2,0,41,-9999,12,6,78,24,-9999,6,-9999,355,200,455,255,66,65,79,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100106,2,-666,-666,6,-666,-666,14,-666,-666,8,5,8,5,133,50,2,0,41,-9999,12,6,78,24,-9999,5,-9999,356,201,456,255,66,65,79,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100107,2,-666,-666,6,-666,-666,14,-666,-666,9,5,9,5,133,49,2,0,41,-9999,12,6,79,24,-9999,5,-9999,356,202,457,255,66,65,79,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100108,2,-666,-666,6,-666,-666,14,-666,-666,10,6,10,6,133,49,1,0,41,-9999,11,5,79,24,-9999,5,-9999,357,202,458,256,66,65,79,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100109,2,-666,-666,6,-666,-666,13,-666,-666,11,7,11,7,133,48,1,0,41,-9999,11,5,79,24,-9999,4,-9999,357,203,459,256,66,65,79,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20100110,2,-666,-666,6,-666,-666,13,-666,-666,13,8,13,8,133,48,1,0,41,-9999,11,5,80,25,-9999,4,-9999,358,204,460,256,66,65,79,67
