STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100101,2,1,-666,6,2,-666,17,4,-666,2,1,2,1,139,53,13,1,116,6,54,26,93,37,-9999,11,5,362,261,493,232,102,99,134,87
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100102,2,1,-666,6,2,-666,17,4,-666,4,2,4,2,138,53,13,1,116,6,55,27,93,38,-9999,11,5,363,262,494,232,101,99,134,86
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100103,2,1,-666,6,2,-666,17,4,-666,6,3,6,3,136,52,13,1,117,5,56,27,92,38,-9999,11,5,363,263,495,232,101,99,134,86
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100104,2,1,-666,6,2,-666,17,4,-666,8,4,8,4,135,52,13,1,117,5,58,28,92,38,-9999,11,6,364,264,496,232,101,99,134,86
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100105,2,1,-666,6,2,-666,18,4,-666,10,5,10,5,134,52,13,1,118,5,59,29,91,39,-9999,12,6,364,265,497,232,100,99,133,85
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100106,2,1,-666,6,2,-666,18,4,-666,12,7,12,7,133,52,14,1,119,5,61,29,91,40,-9999,12,6,365,266,498,232,100,99,133,85
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100107,2,1,-666,7,3,-666,18,4,-666,14,8,14,8,133,52,14,1,121,5,63,30,91,40,-9999,12,6,365,266,499,232,100,99,133,84
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100108,2,1,-666,7,3,-666,18,4,-666,16,9,16,9,132,52,14,1,122,5,64,31,91,41,-9999,13,6,366,267,500,232,99,99,132,84
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100109,2,1,-666,7,3,-666,18,5,-666,18,10,18,10,131,52,14,1,124,5,66,32,91,41,-9999,13,6,367,268,501,232,99,98,132,83
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100110,2,1,-666,7,3,-666,18,5,-666,20,11,20,11,131,52,14,1,125,5,67,32,91,42,-9999,13,7,367,269,502,232,98,99,131,83
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100111,2,1,-666,7,3,-666,18,5,-666,21,13,21,13,130,52,14,1,126,5,69,33,91,42,-9999,14,7,368,270,503,233,98,99,131,83
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100112,2,1,-666,7,3,-666,19,5,-666,23,14,23,14,130,52,14,1,127,5,70,34,91,43,0,14,7,368,271,503,233,98,99,131,82
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20100113,2,1,-666,7,3,-666,19,5,-666,25,15,25,15,130,52,14,1,129,5,72,35,91,44,0,14,7,369,272,504,233,98,99,131,82
