STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141101,0,0,0,178,22
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141102,0,0,0,239,94
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141103,18,0,0,183,78
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141104,0,0,0,89,33
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141105,0,0,0,194,11
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141106,0,0,0,189,11
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141107,0,0,0,239,50
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141108,0,0,0,183,61
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141109,0,0,0,250,67
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141110,0,0,0,278,-27
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141111,0,0,0,22,-71
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141112,0,0,0,-60,-99
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141113,0,0,0,-43,-105
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141114,0,0,0,56,-66
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141115,0,0,0,206,-32
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141116,48,0,64,-32,-110
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141117,0,50,0,39,-127
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141118,0,0,0,94,-82
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141119,0,0,0,133,-38
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141120,0,0,0,128,-16
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20141121,0,0,0,161,-27
