STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141101,0,0,0,200,33
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141102,0,0,0,150,0
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141103,0,0,0,128,0
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141104,0,0,0,161,-6
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141105,0,0,0,167,28
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141106,0,0,0,211,-11
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141107,0,0,0,178,22
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141108,0,0,0,211,-17
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141109,41,0,5,106,-61
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141110,13,25,33,-61,-117
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141111,3,25,5,-111,-161
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141112,0,25,0,-122,-211
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141113,0,25,0,-117,-233
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141114,10,25,10,-100,-200
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141115,10,51,10,-89,-167
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141116,0,25,0,17,-150
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141117,0,25,0,6,-167
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141118,0,0,0,22,-72
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141119,0,0,0,28,-106
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141120,0,0,0,61,-106
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141121,0,0,0,83,-39
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141122,0,0,0,111,-39
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141123,0,0,0,72,-6
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141124,0,0,0,72,-17
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141125,0,0,0,72,0
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141126,94,178,173,0,-22
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141127,0,25,0,94,-33
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141128,0,0,0,167,22
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141129,46,76,76,67,-194
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141130,3,76,3,-117,-244
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141201,0,51,0,-6,-250
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141202,0,25,0,44,-89
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141203,0,25,0,-11,-133
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141204,0,0,0,89,-89
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141205,0,0,0,56,-39
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141206,0,0,0,94,-56
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141207,0,0,0,128,-33
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141208,0,0,0,72,-56
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141209,0,0,0,117,-44
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141210,0,0,0,150,-11
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141211,0,0,0,128,-17
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141212,0,0,0,139,22
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141213,0,0,0,150,17
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141214,46,76,64,56,-17
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141215,10,76,10,-17,-56
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141216,0,76,0,-44,-67
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141217,0,25,0,17,-67
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141218,0,25,0,39,-72
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141219,0,0,0,56,-50
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20141220,0,0,0,44,-33
