STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100101,6,-666,-666,24,-666,-666,57,-666,-666,14,0,14,0,341,236,103,41,3,0,1,0,6,4,0,1,1,438,193,535,342,107,82,110,119
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100102,6,-666,-666,24,-666,-666,58,-666,-666,27,0,27,0,341,237,103,42,4,0,1,0,7,4,0,1,1,438,193,534,341,107,82,110,119
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100103,6,-666,-666,24,-666,-666,58,-666,-666,41,0,41,0,341,237,104,42,4,0,1,0,7,5,0,1,1,437,193,534,341,107,82,110,119
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100104,6,-666,-666,24,-666,-666,59,-666,-666,55,1,55,1,341,238,105,42,4,0,1,0,7,5,0,2,1,437,194,533,340,107,83,109,119
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100105,6,-666,-666,24,-666,-666,59,-666,-666,70,1,70,1,341,239,106,42,4,0,1,0,7,5,0,2,1,436,194,533,339,106,83,109,119
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100106,6,-666,-666,24,-666,-666,60,-666,-666,85,1,85,1,342,239,107,42,5,0,1,0,8,5,0,2,1,436,194,533,339,106,83,109,119
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100107,6,-666,-666,24,-666,-666,60,-666,-666,99,1,99,1,342,240,108,42,5,0,2,0,8,5,0,2,1,436,195,533,338,106,83,109,118
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100108,6,-666,-666,24,-666,-666,61,-666,-666,113,1,113,1,342,240,108,42,5,0,2,0,8,6,0,2,1,435,195,533,338,105,83,109,118
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100109,6,-666,-666,24,-666,-666,61,-666,-666,128,1,128,1,342,241,109,43,6,0,2,0,8,6,0,2,1,435,196,533,337,105,84,108,118
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100110,6,-666,-666,24,-666,-666,62,-666,-666,143,2,143,2,342,241,110,43,6,0,2,0,8,6,0,2,1,435,196,533,337,105,84,108,117
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100111,6,-666,-666,24,-666,-666,62,-666,-666,159,2,159,2,341,241,110,43,6,0,2,0,9,6,0,2,1,435,197,533,336,104,84,108,117
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100112,6,-666,-666,24,-666,-666,63,-666,-666,174,2,174,2,341,241,111,43,7,0,2,0,9,6,0,3,1,435,198,534,336,104,84,107,116
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100113,6,-666,-666,24,-666,-666,63,-666,-666,190,2,190,2,341,242,111,43,7,0,2,0,9,6,0,3,1,435,198,534,336,103,84,107,116
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100114,6,-666,-666,24,-666,-666,63,-666,-666,205,2,205,2,342,243,112,43,7,0,2,0,9,6,0,3,1,435,199,534,336,103,84,107,115
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100115,6,-666,-666,24,-666,-666,64,-666,-666,221,3,221,3,342,243,113,43,7,0,3,0,9,6,0,3,1,435,199,535,335,102,84,107,115
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100116,6,-666,-666,24,-666,-666,64,-666,-666,237,3,237,3,343,244,114,43,7,0,3,0,9,6,0,3,1,435,200,535,335,102,84,106,114
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100117,6,-666,-666,24,-666,-666,65,-666,-666,253,3,253,3,344,245,114,43,8,0,3,0,9,6,0,3,1,436,201,536,335,102,84,106,114
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100118,7,-666,-666,24,-666,-666,65,-666,-666,269,3,269,3,344,245,115,43,8,0,3,0,10,6,0,3,1,436,201,537,335,101,85,106,113
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100119,7,-666,-666,24,-666,-666,65,-666,-666,286,4,286,4,344,246,116,44,8,0,3,0,10,6,0,3,1,436,202,537,336,101,85,106,112
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100120,7,-666,-666,24,-666,-666,66,-666,-666,303,4,303,4,344,246,116,43,8,0,3,0,10,6,0,3,1,437,202,538,336,100,85,106,112
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100121,7,-666,-666,24,-666,-666,66,-666,-666,320,4,320,4,344,246,117,43,8,0,3,0,10,6,0,3,1,437,203,539,336,100,85,106,111
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100122,7,-666,-666,24,-666,-666,66,-666,-666,336,4,336,4,345,246,117,43,8,0,3,0,10,6,0,3,1,438,203,540,336,100,85,106,111
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100123,7,-666,-666,24,-666,-666,67,-666,-666,352,4,352,4,345,246,118,43,8,0,3,0,10,6,0,3,1,439,204,541,337,99,85,106,110
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100124,6,-666,-666,24,-666,-666,67,-666,-666,369,5,369,5,345,246,118,43,8,0,3,0,10,5,0,3,1,440,205,542,337,99,85,106,110
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100125,6,-666,-666,23,-666,-666,67,-666,-666,385,5,385,5,345,245,118,43,7,0,3,0,10,5,0,3,1,441,205,543,338,99,85,106,109
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100126,6,-666,-666,23,-666,-666,67,-666,-666,401,5,401,5,345,245,118,43,7,0,3,0,10,5,0,3,1,441,206,544,339,99,85,106,109
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100127,6,-666,-666,23,-666,-666,67,-666,-666,418,5,418,5,346,245,118,43,7,0,3,0,9,5,0,2,1,443,206,546,339,99,85,106,109
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100128,6,-666,-666,23,-666,-666,67,-666,-666,434,5,434,5,346,245,118,43,7,0,3,0,9,5,0,2,1,444,207,547,340,99,85,106,109
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100129,6,-666,-666,22,-666,-666,67,-666,-666,451,6,451,6,347,244,118,42,7,0,3,0,9,5,0,2,1,445,207,548,341,98,85,106,108
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100130,6,-666,-666,22,-666,-666,67,-666,-666,467,6,467,6,347,244,119,42,7,0,3,0,9,4,0,2,0,446,207,550,342,98,85,106,108
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100131,6,-666,-666,22,-666,-666,68,-666,-666,484,6,484,6,348,244,119,42,6,0,3,0,9,4,0,2,0,447,208,551,344,98,85,106,107
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100201,6,-666,-666,22,-666,-666,68,-666,-666,17,0,501,6,348,244,120,42,6,0,-9999,0,9,4,0,-9999,0,449,208,553,345,97,85,106,107
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100202,6,-666,-666,22,-666,-666,68,-666,-666,33,0,517,6,349,244,120,42,6,0,-9999,0,9,4,0,-9999,0,450,209,555,346,97,85,106,106
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100203,6,-666,-666,22,-666,-666,68,-666,-666,49,0,533,6,349,244,120,42,6,0,-9999,0,9,4,0,-9999,0,452,209,557,348,97,85,105,106
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20100204,6,-666,-666,22,-666,-666,68,-666,-666,65,0,549,6,349,244,120,41,6,0,-9999,0,9,4,0,-9999,0,454,209,558,349,97,85,105,106
