STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141101,0,0,0,117,6
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141102,0,0,0,161,-21
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141103,0,0,0,194,22
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141104,0,0,0,217,89
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141105,0,0,0,200,144
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141106,28,0,-9999,217,78
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141107,0,0,0,150,39
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141108,0,0,0,183,17
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141109,0,0,0,183,28
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141110,0,0,0,211,22
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141111,0,0,0,244,61
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141112,0,0,0,178,39
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141113,0,0,0,61,-10
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141114,0,0,0,61,-49
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141115,0,0,0,111,-49
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141116,617,0,0,144,83
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141117,254,0,-9999,144,-27
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141118,0,0,0,28,-55
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141119,0,0,0,111,-66
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141120,0,0,0,167,56
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141121,0,0,0,194,50
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141122,0,0,0,200,56
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141123,234,0,0,183,128
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141124,0,0,0,200,89
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141125,0,0,0,150,50
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141126,0,0,0,144,6
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141127,0,0,0,83,-5
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141128,0,0,0,117,-38
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141129,0,0,0,156,50
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141130,0,0,0,222,128
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141201,0,0,0,228,111
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141202,0,0,0,217,100
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141203,0,0,0,217,94
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141204,0,0,0,244,117
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141205,46,0,0,228,144
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141206,409,0,0,206,89
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141207,0,0,0,144,67
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141208,0,0,0,122,33
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141209,0,0,0,156,11
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141210,0,0,0,89,-16
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141211,0,0,0,111,-27
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141212,0,0,0,139,-21
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141213,0,0,0,128,-21
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141214,0,0,0,150,0
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141215,25,0,0,172,11
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141216,43,0,0,172,22
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141217,0,0,0,78,0
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141218,0,0,0,94,0
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,20141219,33,0,0,89,0
