STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141101,292,0,0,100,39
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141102,15,0,0,94,22
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141103,0,0,0,122,6
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141104,0,0,0,117,56
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141105,0,0,0,172,83
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141106,0,0,0,206,78
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141107,0,0,0,144,50
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141108,0,0,0,139,33
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141109,3,0,0,117,28
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141110,0,0,0,89,-21
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141111,0,0,0,44,-55
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141112,0,0,0,-10,-82
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141113,66,0,84,-27,-60
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141114,97,100,109,-21,-93
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141115,0,180,0,-55,-171
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141116,0,150,0,-55,-155
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141117,0,130,0,-66,-143
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141118,0,130,0,-55,-155
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141119,0,130,0,-49,-127
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141120,0,100,0,-10,-99
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141121,20,102,0,50,-49
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141122,46,30,0,89,22
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141123,0,0,0,78,-21
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141124,0,0,0,83,-16
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141125,8,0,0,122,39
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141126,0,0,0,156,28
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141127,5,0,0,139,56
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141128,0,0,0,183,44
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141129,0,0,0,128,-16
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141130,0,0,0,6,-71
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141201,23,0,13,11,-16
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141202,69,0,0,22,-10
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141203,69,0,0,78,11
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141204,30,0,0,139,44
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141205,0,0,0,78,11
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141206,15,0,0,122,11
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141207,0,0,0,122,6
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141208,0,0,0,100,11
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141209,0,0,0,94,22
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141210,0,0,0,144,11
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20141211,0,0,0,172,106
