STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141101,18,0,0,56,11
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141102,0,0,0,56,-5
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141103,0,0,0,128,33
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141104,69,0,0,161,117
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141105,0,0,0,117,44
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141106,5,0,0,94,39
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141107,48,0,0,61,6
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141108,5,0,0,83,-10
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141109,3,0,0,94,17
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141110,0,0,0,156,56
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141111,0,0,0,200,100
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141112,5,0,0,122,11
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141113,13,0,8,11,-21
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141114,0,0,0,17,-32
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141115,0,0,0,17,-32
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141116,0,0,0,39,-5
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141117,94,0,25,11,-43
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141118,33,80,94,-43,-88
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141119,130,150,193,-5,-99
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141120,74,300,117,-10,-71
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141121,0,250,0,-21,-82
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141122,33,180,0,50,-55
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141123,25,50,0,122,44
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141124,33,0,0,183,56
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141125,0,0,0,67,11
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141126,5,0,3,11,-10
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141127,25,0,51,17,-21
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141128,18,80,30,-21,-60
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141129,0,30,0,78,-38
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141130,20,0,0,156,78
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141201,0,0,0,106,-38
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141202,10,0,3,22,-71
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141203,36,0,0,39,0
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141204,0,0,0,11,-38
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20141205,0,0,0,50,-43
