STATION,STATION_NAME,DATE,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100101,342,166,425,259
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100102,341,165,423,258
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100103,340,165,422,257
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100104,339,164,421,257
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100105,338,164,420,256
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100106,337,163,419,256
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100107,337,163,418,256
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100108,337,162,418,255
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100109,336,162,417,255
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100110,336,162,417,255
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100111,336,162,417,255
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100112,336,161,417,255
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100113,336,161,417,255
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100114,336,162,417,256
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100115,337,162,418,256
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100116,337,162,418,256
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100117,338,162,419,256
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100118,338,163,419,257
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100119,339,163,420,257
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100120,339,164,421,258
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100121,340,164,422,258
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100122,341,165,424,259
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100123,342,166,425,259
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100124,343,167,426,260
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100125,344,168,428,260
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100126,345,168,429,261
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100127,346,169,431,262
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100128,348,171,433,262
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100129,349,172,435,263
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100130,350,173,436,264
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100131,351,174,438,264
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100201,353,175,440,265
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100202,354,176,442,266
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100203,355,178,444,267
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100204,357,179,446,268
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100205,358,180,448,268
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100206,360,181,451,269
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100207,361,183,453,270
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100208,363,184,455,271
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100209,365,185,457,272
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100210,366,186,459,273
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100211,368,187,461,274
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100212,369,188,464,275
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100213,371,190,466,276
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100214,373,191,468,278
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100215,375,192,471,279
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100216,376,193,473,280
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100217,378,194,475,282
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100218,380,195,478,283
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100219,382,195,480,284
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100220,384,196,482,286
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100221,386,197,485,288
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100222,388,198,487,289
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100223,390,198,490,291
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100224,393,199,492,293
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100225,395,199,494,295
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100226,397,200,497,297
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100227,399,200,500,299
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100228,402,201,502,301
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100301,404,201,505,304
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100302,407,201,507,306
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100303,409,202,510,309
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100304,412,202,513,311
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100305,415,202,516,314
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100306,418,202,519,317
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100307,420,202,521,319
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100308,423,202,524,322
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100309,426,202,527,325
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100310,429,202,530,329
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100311,433,202,534,332
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100312,436,202,537,335
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100313,439,202,540,338
