STATION,STATION_NAME,DATE,PRCP,**,**,TMAX,TMIN
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141101,5,0,0,83,43
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141102,0,0,0,91,19
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141103,0,0,0,168,33
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141104,0,0,0,208,140
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141105,0,0,0,190,123
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141106,34,0,0,189,80
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141107,0,0,0,136,9
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141108,0,0,0,97,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141109,0,0,0,142,72
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141110,0,0,0,167,62
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141111,0,0,0,200,64
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141112,0,0,0,199,49
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141113,4,0,0,53,13
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141114,0,0,0,38,-43
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141115,0,0,0,51,-48
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141116,0,0,0,61,-12
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141117,161,0,0,86,1
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141118,0,0,0,5,-68
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141119,0,0,0,13,-80
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141120,0,0,0,109,-16
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141121,0,0,0,31,-38
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141122,0,0,0,90,-33
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141123,195,0,0,117,41
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141124,7,0,0,200,91
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141125,0,0,0,166,85
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141126,312,0,0,97,-6
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141127,0,0,0,63,-4
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141128,0,0,0,28,-30
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141129,0,0,0,49,-31
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141130,0,0,0,176,26
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141201,13,0,0,220,44
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141202,146,0,0,47,1
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141203,2,0,0,124,9
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141204,13,0,0,65,9
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141205,8,0,0,48,13
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141206,117,0,0,94,42
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141207,0,0,0,65,-2
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141208,100,0,0,21,-18
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141209,30,0,0,69,-8
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141210,0,0,0,81,-3
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141211,0,0,0,70,-32
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141212,0,0,0,104,8
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141213,0,0,0,120,16
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141214,0,0,0,144,21
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141215,0,0,0,119,44
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141216,57,0,0,92,23
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141217,0,0,0,115,16
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141218,0,0,0,41,-18
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141219,0,0,0,60,-18
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141220,0,0,0,14,-28
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141221,0,0,0,49,-14
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141222,58,0,0,10,-19
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141223,99,0,0,52,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141224,120,0,0,126,47
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141225,0,0,0,130,36
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141226,0,0,0,107,32
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141227,0,0,0,156,57
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141228,4,0,0,139,69
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141229,47,0,0,76,9
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141230,0,0,0,37,-6
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20141231,0,0,0,26,-25
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150101,0,0,0,72,-48
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150102,0,0,0,76,24
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150103,67,0,0,47,2
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150104,18,0,0,147,35
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150105,0,0,0,67,-26
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150106,0,0,0,38,-45
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150107,0,0,0,-24,-130
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150108,0,0,0,-58,-151
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150109,0,0,0,38,-81
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150110,0,0,0,-15,-95
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150111,0,0,0,44,-59
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150112,118,0,0,101,-8
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150113,0,0,0,32,-50
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150114,10,0,0,-15,-72
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150115,0,0,0,33,-34
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150116,0,0,0,91,-2
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150117,0,0,0,45,-37
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150118,0,0,0,114,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150119,0,0,0,109,25
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150120,0,0,0,125,5
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150121,0,0,0,45,-1
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150122,0,0,0,93,7
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150123,212,0,0,18,-11
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150124,34,0,0,60,-8
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150125,0,0,0,85,13
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150126,63,0,0,54,-22
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150127,0,0,0,13,-37
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150128,0,0,0,45,-60
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150129,0,0,0,36,-30
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150130,0,0,0,67,-64
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150131,0,0,0,41,-76
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150201,11,0,0,49,-23
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150202,15,0,0,97,-60
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150203,0,0,0,28,-65
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150204,0,0,0,124,-34
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150205,0,0,0,85,-88
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150206,0,0,0,35,-102
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150207,0,0,0,121,17
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150208,0,0,0,198,44
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150209,2,0,0,153,3
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150210,3,0,0,60,-17
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150211,0,0,0,72,-31
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150212,0,0,0,69,-74
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150213,0,0,0,-14,-118
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150214,5,0,0,66,-106
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150215,0,0,0,-51,-145
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150216,122,0,0,-86,-131
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150217,43,0,0,-14,-123
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150218,0,0,0,-5,-109
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150219,0,0,0,-104,-166
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150220,0,0,0,-84,-184
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150221,244,0,0,5,-126
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150222,0,0,0,75,-16
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150223,0,0,0,46,-88
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150224,0,0,0,-47,-131
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150225,0,0,0,32,-52
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150226,44,0,0,6,-38
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150227,0,0,0,23,-61
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150228,0,0,0,-21,-101
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150301,9,0,0,7,-57
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150302,0,0,0,95,-9
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150303,0,0,0,9,-33
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150304,58,0,0,115,9
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150305,350,0,0,89,-78
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150306,0,0,0,-39,-133
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150307,0,0,0,92,-55
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150308,0,0,0,167,52
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150309,0,0,0,189,99
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150310,39,0,0,176,62
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150311,8,0,0,179,96
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150312,0,0,0,156,50
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150313,31,0,0,131,32
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150314,62,0,0,159,34
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150315,0,0,0,189,69
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150316,0,0,0,260,88
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150317,0,0,0,207,42
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150318,0,0,0,125,-5
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150319,18,0,0,92,28
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150320,158,0,0,39,13
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150321,0,0,0,172,6
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150322,0,0,0,154,58
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150323,0,0,0,91,9
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150324,0,0,0,115,7
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150325,0,0,0,106,14
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150326,201,0,0,214,75
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150327,211,0,0,93,24
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150328,0,0,0,42,-46
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150329,0,0,0,79,-57
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150330,0,0,0,174,40
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150331,0,0,0,215,87
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150401,0,0,0,162,19
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150402,0,0,0,209,38
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150403,49,0,0,217,134
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150404,0,0,0,166,67
