STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141101,0,0,0,89,-49
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141102,0,0,0,161,39
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141103,5,0,0,189,78
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141104,0,0,0,156,61
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141105,20,0,0,156,39
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141106,0,0,0,100,11
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141107,0,0,0,144,-5
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141108,0,0,0,111,17
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141109,0,0,0,133,33
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141110,0,0,0,189,-5
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141111,3,0,8,-5,-49
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141112,0,0,0,-27,-77
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141113,0,0,0,-27,-82
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141114,0,0,0,-10,-116
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141115,28,0,51,-10,-60
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141116,3,50,13,-27,-110
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141117,0,30,0,-71,-116
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141118,0,30,0,-27,-132
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141119,0,30,0,-5,-60
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141120,0,30,0,-10,-99
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141121,0,0,0,39,-105
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20141122,0,0,0,139,33
