STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100101,5,5,267,107,320,213,100,56,103,106
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100102,11,11,265,107,319,212,101,56,103,106
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100103,16,16,264,107,318,211,101,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100104,21,21,263,108,317,209,101,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100105,27,27,262,108,316,208,101,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100106,32,32,261,109,315,207,102,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100107,36,36,260,109,315,206,102,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100108,41,41,260,109,314,205,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100109,45,45,259,110,314,204,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100110,49,49,258,110,313,203,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100111,54,54,258,110,313,202,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100112,58,58,257,111,312,202,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100113,62,62,257,111,312,201,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100114,65,65,256,111,312,201,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100115,70,70,256,111,312,200,102,56,103,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100116,74,74,256,111,312,200,101,56,103,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100117,78,78,256,112,311,200,101,56,103,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100118,82,82,256,112,311,200,101,56,103,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100119,86,86,256,112,312,200,101,56,103,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100120,90,90,256,112,312,199,101,56,103,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100121,95,95,256,112,312,199,101,56,103,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100122,99,99,256,112,312,200,101,56,102,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100123,103,103,256,113,312,200,101,56,102,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100124,108,108,256,113,313,200,100,56,102,106
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100125,112,112,257,113,313,200,100,56,102,106
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100126,117,117,257,113,314,201,100,56,102,105
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100127,122,122,258,113,314,201,99,57,102,105
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100128,126,126,258,114,315,202,99,57,102,104
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100129,131,131,259,114,316,202,99,57,101,104
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100130,135,135,260,114,317,203,98,57,101,103
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100131,140,140,260,114,318,203,98,57,101,103
