STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00072730,DOVER DE US,20100101,6,-666,-666,16,-666,-666,44,-666,-666,11,1,11,1,328,208,75,27,92,8,58,30,53,32,2,13,8,357,159,437,278,97,65,109,96
GHCND:USC00072730,DOVER DE US,20100102,6,-666,-666,16,-666,-666,44,-666,-666,22,2,22,2,327,207,74,27,94,8,59,30,55,33,2,13,8,356,159,436,277,97,65,109,96
GHCND:USC00072730,DOVER DE US,20100103,6,-666,-666,16,-666,-666,44,-666,-666,32,4,32,4,327,207,74,26,95,9,60,31,56,34,2,14,8,355,159,435,276,98,65,110,97
GHCND:USC00072730,DOVER DE US,20100104,6,-666,-666,16,-666,-666,43,-666,-666,43,5,43,5,326,206,74,26,97,9,62,32,58,35,2,14,8,354,159,434,275,98,66,110,97
GHCND:USC00072730,DOVER DE US,20100105,6,-666,-666,16,-666,-666,43,-666,-666,54,6,54,6,326,206,73,25,100,9,64,33,59,35,2,14,8,354,159,433,274,98,66,110,97
GHCND:USC00072730,DOVER DE US,20100106,6,-666,-666,16,-666,-666,43,-666,-666,66,7,66,7,326,206,73,25,102,10,66,34,60,36,2,15,9,353,159,433,273,99,66,111,97
GHCND:USC00072730,DOVER DE US,20100107,6,2,-666,16,3,-666,43,6,-666,77,8,77,8,326,206,72,25,104,10,68,36,62,37,2,15,9,352,160,432,272,99,66,111,97
GHCND:USC00072730,DOVER DE US,20100108,5,2,-666,16,3,-666,42,6,-666,88,9,88,9,325,206,72,24,107,10,70,37,63,38,2,16,9,352,160,431,272,99,66,111,97
GHCND:USC00072730,DOVER DE US,20100109,5,2,-666,16,3,-666,42,6,-666,99,11,99,11,325,205,71,24,110,11,72,38,64,38,2,16,9,351,160,431,271,99,67,111,98
GHCND:USC00072730,DOVER DE US,20100110,5,2,-666,16,3,-666,42,6,-666,110,12,110,12,324,204,71,23,113,11,74,39,64,39,2,16,9,351,160,431,271,99,67,111,98
GHCND:USC00072730,DOVER DE US,20100111,5,2,-666,16,3,-666,42,6,-666,121,13,121,13,324,204,71,23,115,11,76,40,65,39,2,17,9,350,160,430,270,99,67,111,98
GHCND:USC00072730,DOVER DE US,20100112,5,2,-666,16,3,-666,41,6,-666,133,15,133,15,323,203,70,23,118,11,78,41,66,40,2,17,9,350,161,430,270,99,67,111,98
GHCND:USC00072730,DOVER DE US,20100113,5,2,-666,16,3,-666,41,6,-666,144,16,144,16,323,203,70,22,121,11,80,42,66,41,2,17,9,350,161,430,269,99,67,111,98
GHCND:USC00072730,DOVER DE US,20100114,5,2,-666,16,3,-666,41,6,-666,156,17,156,17,323,203,70,22,124,11,82,43,67,42,2,18,9,350,161,430,269,99,67,111,98
GHCND:USC00072730,DOVER DE US,20100115,5,2,-666,16,3,-666,42,6,-666,168,19,168,19,323,203,71,22,127,12,84,45,68,43,2,19,9,350,161,430,269,99,67,111,98
GHCND:USC00072730,DOVER DE US,20100116,5,2,-666,16,3,-666,42,6,-666,180,20,180,20,323,203,71,22,130,12,87,46,69,43,2,19,9,350,162,431,269,99,67,111,98
