STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USC00072730,DOVER DE US,20141101,216,0,0,106,72
GHCND:USC00072730,DOVER DE US,20141102,0,0,0,100,50
GHCND:USC00072730,DOVER DE US,20141103,0,0,0,150,17
GHCND:USC00072730,DOVER DE US,20141104,0,0,0,211,44
GHCND:USC00072730,DOVER DE US,20141105,0,0,0,206,100
GHCND:USC00072730,DOVER DE US,20141106,-9999,0,0,178,100
GHCND:USC00072730,DOVER DE US,20141107,-9999,0,0,167,67
GHCND:USC00072730,DOVER DE US,20141108,0,0,0,106,0
GHCND:USC00072730,DOVER DE US,20141109,0,0,0,144,61
GHCND:USC00072730,DOVER DE US,20141110,0,0,0,172,22
GHCND:USC00072730,DOVER DE US,20141111,0,0,0,200,44
GHCND:USC00072730,DOVER DE US,20141112,0,0,0,206,122
GHCND:USC00072730,DOVER DE US,20141113,0,0,0,156,22
GHCND:USC00072730,DOVER DE US,20141114,10,0,0,67,6
GHCND:USC00072730,DOVER DE US,20141115,0,0,0,67,-17
GHCND:USC00072730,DOVER DE US,20141116,0,0,0,78,-39
GHCND:USC00072730,DOVER DE US,20141117,328,0,0,133,61
GHCND:USC00072730,DOVER DE US,20141118,25,0,0,133,-39
GHCND:USC00072730,DOVER DE US,20141119,0,0,0,11,-67
GHCND:USC00072730,DOVER DE US,20141120,0,0,0,111,-22
GHCND:USC00072730,DOVER DE US,20141121,0,0,0,100,-28
GHCND:USC00072730,DOVER DE US,20141122,0,0,0,89,-56
GHCND:USC00072730,DOVER DE US,20141123,0,0,0,150,11
GHCND:USC00072730,DOVER DE US,20141124,43,0,0,217,111
GHCND:USC00072730,DOVER DE US,20141125,0,0,0,200,111
GHCND:USC00072730,DOVER DE US,20141126,310,0,0,111,17
GHCND:USC00072730,DOVER DE US,20141127,0,0,0,78,-6
GHCND:USC00072730,DOVER DE US,20141128,0,0,0,44,-22
GHCND:USC00072730,DOVER DE US,20141129,0,0,0,61,-33
GHCND:USC00072730,DOVER DE US,20141130,0,0,-9999,156,44
GHCND:USC00072730,DOVER DE US,20141201,0,0,0,206,94
GHCND:USC00072730,DOVER DE US,20141202,140,0,0,178,11
GHCND:USC00072730,DOVER DE US,20141203,8,0,0,111,33
GHCND:USC00072730,DOVER DE US,20141204,0,0,0,106,-28
GHCND:USC00072730,DOVER DE US,20141205,5,0,0,67,22
GHCND:USC00072730,DOVER DE US,20141206,-9999,0,0,111,56
GHCND:USC00072730,DOVER DE US,20141207,-9999,0,0,72,33
GHCND:USC00072730,DOVER DE US,20141208,0,0,0,33,-22
GHCND:USC00072730,DOVER DE US,20141209,191,0,0,67,6
GHCND:USC00072730,DOVER DE US,20141210,3,0,0,67,39
GHCND:USC00072730,DOVER DE US,20141211,5,0,0,61,-11
GHCND:USC00072730,DOVER DE US,20141212,0,0,0,50,-11
GHCND:USC00072730,DOVER DE US,20141213,0,0,0,67,-6
GHCND:USC00072730,DOVER DE US,20141214,0,0,0,72,-17
GHCND:USC00072730,DOVER DE US,20141215,0,0,0,89,50
GHCND:USC00072730,DOVER DE US,20141216,20,0,0,117,0
GHCND:USC00072730,DOVER DE US,20141217,28,0,0,122,44
GHCND:USC00072730,DOVER DE US,20141218,0,0,0,100,17
GHCND:USC00072730,DOVER DE US,20141219,0,0,0,44,-11
GHCND:USC00072730,DOVER DE US,20141220,0,0,0,33,-39
GHCND:USC00072730,DOVER DE US,20141221,0,0,0,56,-39
GHCND:USC00072730,DOVER DE US,20141222,8,0,0,44,-50
GHCND:USC00072730,DOVER DE US,20141223,8,0,0,117,44
GHCND:USC00072730,DOVER DE US,20141224,-9999,0,0,183,78
GHCND:USC00072730,DOVER DE US,20141225,-9999,0,0,183,94
GHCND:USC00072730,DOVER DE US,20141226,-9999,0,0,100,11
GHCND:USC00072730,DOVER DE US,20141227,-9999,0,0,122,6
GHCND:USC00072730,DOVER DE US,20141228,-9999,0,0,139,56
GHCND:USC00072730,DOVER DE US,20141229,-9999,0,0,117,39
GHCND:USC00072730,DOVER DE US,20141230,0,0,0,44,0
GHCND:USC00072730,DOVER DE US,20141231,0,0,0,22,-56
GHCND:USC00072730,DOVER DE US,20150101,0,0,0,56,-67
GHCND:USC00072730,DOVER DE US,20150102,0,0,0,78,6
GHCND:USC00072730,DOVER DE US,20150103,-9999,0,0,50,-39
GHCND:USC00072730,DOVER DE US,20150104,-9999,0,0,178,50
GHCND:USC00072730,DOVER DE US,20150105,-9999,0,0,183,0
GHCND:USC00072730,DOVER DE US,20150106,5,25,25,0,-72
GHCND:USC00072730,DOVER DE US,20150107,0,0,0,-33,-94
GHCND:USC00072730,DOVER DE US,20150108,0,0,0,-61,-133
GHCND:USC00072730,DOVER DE US,20150109,0,0,0,28,-94
GHCND:USC00072730,DOVER DE US,20150110,0,0,0,22,-106
GHCND:USC00072730,DOVER DE US,20150111,0,0,0,61,-128
GHCND:USC00072730,DOVER DE US,20150112,229,0,0,28,11
GHCND:USC00072730,DOVER DE US,20150113,61,0,0,28,-22
GHCND:USC00072730,DOVER DE US,20150114,3,0,0,11,-67
GHCND:USC00072730,DOVER DE US,20150115,0,0,0,33,-28
GHCND:USC00072730,DOVER DE US,20150116,0,0,0,67,-28
GHCND:USC00072730,DOVER DE US,20150117,0,0,0,44,-72
GHCND:USC00072730,DOVER DE US,20150118,470,0,0,78,-39
GHCND:USC00072730,DOVER DE US,20150119,0,0,0,72,6
GHCND:USC00072730,DOVER DE US,20150120,0,0,0,78,-33
GHCND:USC00072730,DOVER DE US,20150121,56,51,64,72,-28
GHCND:USC00072730,DOVER DE US,20150122,0,25,0,61,-28
GHCND:USC00072730,DOVER DE US,20150123,0,0,0,56,-50
GHCND:USC00072730,DOVER DE US,20150124,330,0,0,39,6
GHCND:USC00072730,DOVER DE US,20150125,0,0,0,100,6
GHCND:USC00072730,DOVER DE US,20150126,33,0,0,11,-11
GHCND:USC00072730,DOVER DE US,20150127,23,0,0,17,-39
GHCND:USC00072730,DOVER DE US,20150128,0,0,0,22,-78
GHCND:USC00072730,DOVER DE US,20150129,0,0,0,17,-94
GHCND:USC00072730,DOVER DE US,20150130,8,0,0,44,-11
GHCND:USC00072730,DOVER DE US,20150131,0,0,0,22,-100
GHCND:USC00072730,DOVER DE US,20150201,0,0,0,44,-94
GHCND:USC00072730,DOVER DE US,20150202,224,0,0,117,22
GHCND:USC00072730,DOVER DE US,20150203,0,0,0,44,-78
GHCND:USC00072730,DOVER DE US,20150204,0,0,0,94,-67
GHCND:USC00072730,DOVER DE US,20150205,0,0,0,83,-17
GHCND:USC00072730,DOVER DE US,20150206,0,0,0,17,-111
GHCND:USC00072730,DOVER DE US,20150207,0,0,0,83,-67
GHCND:USC00072730,DOVER DE US,20150208,0,0,0,156,6
GHCND:USC00072730,DOVER DE US,20150209,0,0,0,17,-11
GHCND:USC00072730,DOVER DE US,20150210,0,0,0,44,-28
GHCND:USC00072730,DOVER DE US,20150211,0,0,0,50,-33
GHCND:USC00072730,DOVER DE US,20150212,0,0,0,39,-33
GHCND:USC00072730,DOVER DE US,20150213,0,0,0,28,-122
GHCND:USC00072730,DOVER DE US,20150214,0,0,0,28,-106
GHCND:USC00072730,DOVER DE US,20150215,0,0,0,22,-139
GHCND:USC00072730,DOVER DE US,20150216,0,0,0,-83,-167
GHCND:USC00072730,DOVER DE US,20150217,56,102,102,-11,-106
GHCND:USC00072730,DOVER DE US,20150218,0,76,0,33,-150
GHCND:USC00072730,DOVER DE US,20150219,0,51,0,-11,-122
