STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100101,1,2,2,3,6,5,11,9,14,3,4,3,4,289,77,7,0,802,173,578,470,307,102,3,36,14,100,170,185,15,140,74,141,149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100102,1,2,2,3,6,5,11,9,14,5,8,5,8,288,76,7,0,805,176,582,476,306,101,3,36,14,98,171,184,13,140,74,140,149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100103,1,2,2,3,6,5,11,9,14,8,12,8,12,287,76,7,0,808,180,586,483,305,100,3,36,14,97,172,183,11,140,74,140,149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100104,1,2,2,3,6,5,11,9,14,10,16,10,16,286,75,7,0,810,184,590,489,305,100,4,36,15,96,173,182,9,139,74,140,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100105,1,2,2,3,6,5,11,9,14,13,20,13,20,286,74,7,0,813,188,594,495,304,99,4,36,15,94,173,181,8,139,74,140,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100106,1,2,2,3,6,5,10,10,14,15,24,15,24,285,74,7,0,815,193,598,500,304,99,4,35,15,93,174,181,6,139,74,139,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100107,1,2,2,3,7,5,10,10,14,18,28,18,28,284,73,6,0,817,199,602,506,303,98,4,35,15,92,175,180,5,139,74,139,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100108,1,3,2,3,7,5,10,10,14,20,31,20,31,283,72,6,0,819,205,606,511,301,97,4,34,15,91,176,180,3,138,74,139,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100109,1,3,2,3,7,5,10,10,13,23,35,23,35,282,71,6,0,820,211,610,516,300,96,4,34,15,91,177,179,2,138,75,138,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100110,1,3,2,3,7,5,10,10,13,25,40,25,40,281,70,6,0,820,217,614,521,299,95,4,33,15,90,178,179,1,138,75,138,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100111,1,3,2,3,7,5,10,11,13,28,44,28,44,280,69,5,0,821,224,618,526,298,94,4,32,15,89,179,179,0,138,75,138,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100112,1,3,2,3,7,5,9,11,13,30,48,30,48,279,68,5,0,820,232,621,531,297,93,4,32,14,89,180,179,-1,138,75,139,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100113,1,3,2,3,7,5,9,11,13,33,52,33,52,278,67,5,0,819,239,625,536,295,92,4,31,14,88,181,179,-2,138,75,139,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100114,1,3,2,3,7,5,9,11,13,35,56,35,56,277,66,5,0,818,247,628,540,294,90,4,30,14,88,182,179,-3,139,75,139,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100115,1,3,2,3,7,5,9,12,12,37,59,37,59,275,65,5,0,817,255,632,545,292,89,4,29,14,88,183,179,-4,139,75,140,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100116,1,3,2,3,7,5,9,12,12,40,63,40,63,274,65,5,0,816,262,635,549,291,88,5,29,13,88,184,180,-4,139,75,140,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100117,1,3,2,3,7,5,9,12,12,42,67,42,67,273,64,4,0,815,270,638,553,290,87,5,28,13,88,185,180,-5,140,75,141,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100118,1,3,2,3,7,5,9,12,12,44,70,44,70,272,63,4,0,813,278,640,557,288,86,5,27,13,88,186,181,-5,140,75,141,148
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100119,1,3,2,3,7,5,9,13,12,46,74,46,74,271,63,4,0,812,286,643,561,286,85,4,27,13,88,187,182,-5,140,75,142,149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100120,1,4,2,3,8,5,9,13,12,49,78,49,78,271,63,4,0,811,294,645,565,285,85,4,26,13,89,187,182,-5,141,75,142,149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100121,1,4,2,3,8,5,9,13,12,51,81,51,81,271,62,4,0,809,301,647,568,284,84,4,25,13,89,188,183,-5,141,75,143,149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100122,1,4,2,3,8,5,9,13,12,53,84,53,84,270,62,4,0,808,309,649,571,282,83,4,25,12,90,189,184,-5,141,75,143,149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100123,1,4,2,3,8,5,9,13,12,55,88,55,88,269,62,3,0,807,316,652,575,281,83,4,24,12,91,190,186,-4,142,75,144,150
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100124,1,4,2,3,8,5,9,14,12,57,91,57,91,268,61,3,0,806,323,655,579,279,82,4,23,12,92,190,187,-3,142,75,144,150
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100125,1,4,2,3,8,5,9,14,12,59,94,59,94,266,61,3,0,805,329,657,582,277,81,4,23,11,93,191,188,-3,142,76,144,150
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100126,1,4,2,3,8,5,9,14,12,60,97,60,97,265,60,3,0,803,334,660,585,274,80,4,22,11,94,191,190,-2,142,76,144,150
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100127,1,4,2,3,8,5,9,14,12,62,100,62,100,263,60,3,0,802,339,662,588,272,80,4,21,11,95,192,191,-1,142,76,144,150
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100128,1,4,2,3,8,5,9,14,12,64,103,64,103,262,60,3,0,800,344,664,591,270,80,3,20,10,97,192,193,1,142,76,143,150
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20100129,1,4,2,4,8,5,9,14,12,66,106,66,106,261,60,3,0,799,348,666,593,269,80,3,20,10,98,192,195,2,142,76,143,150
