STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141101,0,0,0,100,-10
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141102,0,0,0,139,39
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141103,0,0,0,111,33
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141104,0,0,0,67,-27
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141105,112,0,5,33,-10
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141106,0,0,0,67,-16
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141107,10,0,0,111,22
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141108,0,0,0,56,6
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141109,13,0,3,28,-43
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141110,0,0,0,-43,-66
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141111,0,0,0,-49,-93
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141112,5,0,15,-32,-116
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141113,3,30,8,-60,-143
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141114,0,30,0,-55,-160
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141115,0,30,0,-55,-149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141116,0,0,5,-49,-138
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141117,0,0,0,-88,-121
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141118,0,0,3,-43,-116
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141119,0,0,0,-21,-138
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141120,0,0,0,-55,-166
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141121,0,0,0,11,-116
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141122,0,0,0,78,-60
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141123,3,0,3,72,-77
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141124,5,30,20,-66,-149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141125,8,30,8,-27,-132
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141126,5,30,5,-66,-232
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141127,15,30,15,-116,-249
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141128,3,50,3,-60,-116
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141129,0,50,0,-32,-127
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141130,0,50,0,-127,-188
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141201,0,50,0,-127,-249
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141202,0,50,0,-66,-143
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141203,0,30,0,-71,-143
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141204,0,30,0,11,-99
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141205,0,30,0,-16,-132
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141206,0,30,0,-16,-166
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141207,0,30,0,28,-16
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141208,5,0,3,17,-110
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141209,0,0,0,-32,-149
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141210,0,0,0,6,-32
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141211,0,0,0,11,-16
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141212,0,0,0,22,0
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20141213,0,0,0,72,11
