STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141101,0,0,0,144,56
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141102,0,0,0,178,28
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141103,0,0,0,211,6
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141104,0,0,0,250,89
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141105,0,0,0,272,139
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141106,0,0,0,267,128
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141107,0,0,0,200,67
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141108,10,0,0,194,61
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141109,15,0,0,217,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141110,0,0,0,250,106
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141111,0,0,0,261,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141112,0,0,0,250,61
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141113,0,0,0,239,128
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141114,0,0,0,178,61
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141115,0,0,0,206,33
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141116,0,0,0,267,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141117,119,0,0,256,117
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141118,0,0,0,117,6
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141119,0,0,0,128,-27
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141120,0,0,0,178,-43
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141121,0,0,0,211,17
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141122,3,0,0,222,83
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141123,53,0,0,278,189
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141124,0,0,0,283,217
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141125,338,0,0,228,167
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141126,89,0,0,172,33
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141127,0,0,0,178,22
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141128,0,0,0,139,11
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141129,0,0,0,206,0
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141130,0,0,0,244,56
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141201,0,0,0,256,94
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141202,0,0,0,267,144
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141203,0,0,0,261,133
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141204,0,0,0,272,128
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141205,0,0,0,250,161
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141206,8,0,0,272,161
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141207,0,0,0,172,122
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141208,0,0,0,139,89
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141209,0,0,0,172,39
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141210,0,0,0,156,6
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141211,0,0,0,156,-5
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141212,0,0,0,189,11
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20141213,0,0,0,200,-16
