STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100101,5,5,176,153,253,99
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100102,11,11,175,154,252,97
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100103,16,16,173,155,251,95
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100104,22,22,172,157,250,93
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100105,27,27,170,158,249,92
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100106,31,31,169,159,249,90
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100107,35,35,168,160,248,88
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100108,40,40,167,161,248,87
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100109,44,44,166,162,247,85
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100110,48,48,166,163,247,84
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100111,52,52,165,164,247,83
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100112,55,55,164,166,247,81
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100113,59,59,164,167,247,80
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100114,62,62,163,168,247,80
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100115,66,66,163,169,247,79
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100116,69,69,163,170,248,78
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100117,73,73,163,171,248,77
