STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141101,0,0,0,61,-33
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141102,0,0,0,94,-28
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141103,0,0,0,106,39
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141104,41,0,0,128,44
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141105,0,0,0,72,17
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141106,91,0,0,50,6
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141107,13,0,0,61,-17
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141108,53,0,0,56,-11
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141109,8,0,8,33,-6
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141110,20,0,0,50,-6
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141111,36,0,13,11,-44
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141112,91,0,0,-33,-72
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141113,0,0,0,-11,-78
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141114,0,0,0,-33,-83
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141115,0,0,0,-33,-106
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141116,18,0,20,-28,-100
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141117,0,0,0,-78,-133
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141118,0,0,0,-72,-122
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141119,0,0,8,-56,-94
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141120,5,25,13,-72,-139
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141121,0,25,0,-11,-161
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141122,0,25,0,44,-11
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20141123,0,0,0,89,44
