STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100101,4,1,-666,12,3,-666,32,5,-666,4,1,4,1,163,94,24,9,190,2,95,56,86,51,0,16,5,311,164,393,229,116,74,128,116
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100102,4,1,-666,12,3,-666,31,5,-666,8,3,8,3,162,93,23,9,192,2,95,56,86,51,0,16,5,311,164,393,228,116,74,128,115
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100103,4,1,-666,12,3,-666,31,5,-666,12,4,12,4,161,92,22,9,194,2,95,56,85,50,0,16,5,310,165,392,228,115,74,128,114
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100104,4,1,-666,12,3,-666,31,5,-666,16,5,16,5,160,91,21,8,195,2,94,56,85,50,0,16,5,309,165,392,227,115,74,127,114
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100105,4,1,-666,12,2,-666,30,5,-666,19,7,19,7,159,90,20,8,196,2,94,55,85,49,0,16,5,309,166,392,226,114,74,127,113
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100106,4,1,-666,12,2,-666,30,5,-666,23,8,23,8,158,88,19,8,197,2,93,54,84,48,0,16,5,309,166,392,225,113,75,127,112
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100107,4,1,-666,12,2,-666,30,5,-666,27,9,27,9,157,87,18,7,198,2,93,53,84,48,0,16,5,308,167,392,225,113,75,126,111
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100108,4,1,-666,12,2,-666,30,5,-666,30,11,30,11,156,86,17,7,198,2,92,52,84,48,0,16,5,308,167,392,224,112,75,126,111
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100109,4,1,-666,12,2,-666,29,5,-666,33,12,33,12,156,85,17,7,199,2,92,51,84,47,0,16,5,307,168,391,223,112,75,125,110
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20100110,4,1,-666,12,2,-666,29,5,-666,36,13,36,13,155,84,16,7,199,1,91,50,84,47,0,16,5,307,169,391,223,111,76,125,110
