STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141101,0,-9999,117,-16
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141102,0,-9999,189,94
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141103,0,-9999,217,111
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141104,0,-9999,139,72
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141105,0,-9999,206,44
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141106,0,-9999,133,28
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141107,0,-9999,183,11
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141108,0,-9999,144,17
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141109,0,-9999,189,28
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141110,0,-9999,222,17
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141111,3,-9999,22,-27
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141112,0,-9999,-10,-60
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141113,0,-9999,0,-82
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141114,0,-9999,6,-82
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141115,0,-9999,11,-49
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141116,0,-9999,0,-77
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141117,0,0,-32,-99
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141118,0,-9999,44,-105
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141119,0,-9999,56,-49
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141120,0,-9999,56,-77
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141121,5,-9999,106,-43
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141122,0,-9999,167,100
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141123,28,-9999,150,50
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141124,0,-9999,61,0
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141125,0,-9999,67,-43
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141126,10,-9999,61,-16
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141127,0,-9999,33,-32
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141128,0,-9999,161,0
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141129,0,-9999,200,94
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141130,0,-9999,139,-49
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141201,0,-9999,-16,-77
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20141202,0,-9999,44,-66
