STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100101,4,-666,-666,21,-666,-666,58,-666,-666,13,0,13,0,297,189,88,36,16,2,8,5,18,11,1,3,2,408,183,500,316,105,84,121,105
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100102,4,-666,-666,21,-666,-666,58,-666,-666,26,1,26,1,296,187,87,36,17,2,8,5,18,12,1,3,2,408,184,499,316,105,85,121,105
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100103,4,-666,-666,20,-666,-666,58,-666,-666,39,1,39,1,295,186,87,35,17,2,9,6,18,12,1,3,3,407,184,499,315,105,85,121,105
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100104,4,-666,-666,20,-666,-666,58,-666,-666,52,2,52,2,294,186,86,35,18,2,9,6,19,12,1,3,3,407,185,499,314,105,85,121,105
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100105,4,-666,-666,20,-666,-666,57,-666,-666,65,2,65,2,293,185,86,34,19,2,9,6,19,13,1,4,3,406,185,499,314,105,85,121,104
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100106,4,-666,-666,20,-666,-666,57,-666,-666,79,3,79,3,293,184,85,33,19,2,10,7,19,13,1,4,3,406,186,499,313,104,85,121,104
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100107,4,-666,-666,20,-666,-666,57,-666,-666,91,3,91,3,292,183,84,33,20,2,10,7,19,13,1,4,3,406,186,499,313,104,85,121,104
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100108,4,-666,-666,20,-666,-666,57,-666,-666,102,4,102,4,291,183,83,32,21,2,11,7,19,13,1,4,3,406,187,499,312,103,86,120,103
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100109,4,-666,-666,20,-666,-666,56,-666,-666,114,4,114,4,290,182,83,32,21,2,11,7,19,13,1,4,3,406,187,499,312,103,86,120,103
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20100110,4,-666,-666,20,-666,-666,56,-666,-666,125,5,125,5,290,182,83,31,22,2,11,8,19,13,1,4,3,406,188,500,312,103,86,120,102
