STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141101,0,0,0,133,11
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141102,0,0,0,161,11
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141103,0,0,0,222,56
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141104,165,0,0,194,133
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141105,127,0,0,150,117
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141106,0,0,0,206,83
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141107,0,0,0,156,28
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141108,0,0,0,206,44
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141109,0,0,0,194,28
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141110,0,0,0,239,78
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141111,5,0,0,172,22
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141112,0,0,0,89,-5
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141113,3,0,3,50,-21
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141114,0,0,0,50,-43
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141115,0,0,0,67,-38
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141116,30,0,0,44,17
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141117,0,0,0,39,-27
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141118,0,0,0,72,-66
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141119,0,0,0,150,0
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141120,0,0,0,133,-5
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141121,79,0,0,94,56
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141122,0,0,0,194,67
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141123,147,0,0,178,139
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141124,0,0,0,161,39
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141125,0,0,0,133,-5
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141126,0,0,0,144,-5
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141127,0,0,0,100,6
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141128,0,0,0,156,-16
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141129,0,0,0,244,94
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141130,0,0,0,239,133
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141201,0,0,0,156,11
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141202,0,0,0,61,11
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141203,23,0,0,72,44
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141204,0,0,0,111,67
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141205,353,0,0,206,106
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141206,0,0,0,172,78
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141207,0,0,0,83,50
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141208,0,0,0,133,28
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141209,0,0,0,144,17
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141210,0,0,0,89,-10
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141211,0,0,0,83,17
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141212,0,0,0,89,61
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141213,8,0,0,178,72
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141214,0,0,0,206,56
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141215,38,0,0,217,100
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141216,0,0,0,106,11
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141217,41,0,0,50,0
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141218,23,0,0,67,28
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141219,3,0,0,67,50
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141220,0,0,0,100,28
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20141221,0,0,0,128,6
