STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141101,51,0,0,183,133
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141102,0,0,0,194,106
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141103,0,0,0,233,111
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141104,0,0,0,233,106
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141105,0,0,0,272,122
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141106,0,0,0,311,167
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141107,0,0,0,300,161
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141108,0,0,0,283,139
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141109,0,0,0,200,167
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141110,0,0,0,194,161
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141111,0,0,0,189,167
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141112,0,0,0,194,150
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141113,0,0,0,189,128
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141114,0,0,0,206,161
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141115,0,0,0,206,139
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141116,0,0,0,222,133
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141117,0,0,0,250,128
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141118,0,0,0,244,122
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141119,0,0,0,211,122
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141120,0,0,0,200,117
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141121,0,0,0,206,139
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141122,0,0,0,211,117
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141123,0,0,0,261,139
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141124,0,0,0,261,133
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141125,0,0,0,256,128
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141126,0,0,0,261,122
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141127,0,0,0,300,144
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141128,0,0,0,250,122
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141129,0,0,0,222,111
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141130,56,0,0,189,150
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141201,0,0,0,200,144
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141202,284,0,0,183,139
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141203,53,0,0,178,144
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141204,0,0,0,194,139
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141205,0,0,0,194,144
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141206,0,0,0,189,133
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141207,0,0,0,222,122
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141208,0,0,0,239,133
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141209,0,0,0,222,128
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141210,0,0,0,206,117
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141211,0,0,0,183,156
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141212,378,0,0,167,122
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141213,0,0,0,167,100
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141214,0,0,0,172,89
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141215,0,0,-9999,178,94
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141216,185,0,0,156,117
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141217,46,0,0,161,111
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141218,0,0,-9999,161,94
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141219,0,0,0,172,100
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141220,0,0,0,167,100
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141221,0,0,0,183,106
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141222,0,0,0,200,100
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141223,0,0,0,261,111
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141224,0,0,0,228,139
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20141225,0,0,0,178,111
