STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141101,0,0,0,78,17
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141102,0,0,0,117,-10
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141103,0,0,0,200,39
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141104,8,0,0,189,117
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141105,25,0,0,144,111
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141106,3,0,0,133,67
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141107,0,0,0,111,39
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141108,0,0,0,144,17
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141109,0,0,0,139,22
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141110,0,0,0,189,28
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141111,20,0,0,183,28
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141112,0,0,0,50,6
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141113,0,0,0,6,-38
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141114,0,0,0,22,-55
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141115,0,0,0,50,-55
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141116,81,0,0,61,11
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141117,66,50,84,11,-71
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141118,0,50,0,-38,-88
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141119,0,30,0,94,-88
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141120,0,0,0,22,-55
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141121,0,0,0,56,-66
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141122,0,0,0,183,22
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141123,206,0,0,161,89
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141124,18,0,0,172,44
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141125,0,0,0,83,6
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141126,0,0,0,78,-32
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20141127,8,0,10,28,-10
