STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100101,6,-666,-666,21,-666,-666,61,-666,-666,13,0,13,0,313,206,93,42,9,0,0,0,8,7,0,0,0,459,224,571,347,94,89,101,107
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100102,6,-666,-666,21,-666,-666,61,-666,-666,25,0,25,0,314,206,93,42,9,0,0,0,8,7,0,0,0,458,225,571,346,94,89,101,107
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100103,6,-666,-666,21,-666,-666,61,-666,-666,38,0,38,0,315,207,94,42,9,0,0,0,9,7,0,0,0,458,225,571,346,94,89,101,107
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100104,6,-666,-666,21,-666,-666,61,-666,-666,51,1,51,1,315,207,94,42,10,0,0,0,9,7,0,0,0,458,225,570,346,94,90,100,107
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100105,6,-666,-666,21,-666,-666,62,-666,-666,64,1,64,1,316,207,95,41,10,0,0,0,9,8,0,0,0,458,225,571,345,93,90,100,107
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100106,6,-666,-666,21,-666,-666,62,-666,-666,77,1,77,1,316,208,96,41,10,0,0,0,9,8,0,0,0,458,225,571,345,93,90,100,107
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100107,6,-666,-666,21,-666,-666,62,-666,-666,90,1,90,1,317,208,96,41,11,0,0,0,9,8,0,0,0,458,226,571,345,93,90,100,106
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100108,6,-666,-666,21,-666,-666,63,-666,-666,103,1,103,1,317,208,97,41,11,0,0,0,9,8,0,0,0,458,226,571,345,93,90,100,106
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100109,6,-666,-666,21,-666,-666,63,-666,-666,116,1,116,1,317,209,98,41,11,0,0,0,9,8,0,0,0,458,226,571,345,92,91,100,106
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100110,6,-666,-666,21,-666,-666,63,-666,-666,130,2,130,2,317,209,98,41,11,0,0,0,9,8,0,0,0,458,227,572,345,92,91,99,106
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100111,6,-666,-666,22,-666,-666,64,-666,-666,143,2,143,2,317,210,98,41,11,0,0,0,9,8,0,0,0,459,227,572,345,92,91,99,105
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100112,6,-666,-666,22,-666,-666,64,-666,-666,157,2,157,2,317,210,99,41,11,0,0,0,9,8,0,0,0,459,228,573,345,91,91,99,105
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100113,6,-666,-666,22,-666,-666,64,-666,-666,170,2,170,2,317,211,100,41,11,0,0,0,9,8,0,0,0,459,228,574,345,91,91,99,104
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100114,6,-666,-666,22,-666,-666,65,-666,-666,184,2,184,2,318,211,100,41,10,0,0,0,9,8,0,0,0,460,229,574,346,90,91,98,104
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100115,6,-666,-666,22,-666,-666,65,-666,-666,197,2,197,2,318,212,101,41,10,0,0,0,8,8,0,0,0,460,229,575,346,90,91,98,103
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100116,6,-666,-666,22,-666,-666,66,-666,-666,210,3,210,3,319,213,102,41,9,0,0,0,8,8,0,0,0,461,230,576,346,89,91,98,103
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100117,6,-666,-666,22,-666,-666,66,-666,-666,224,3,224,3,319,214,103,42,9,0,0,0,8,7,0,0,0,462,230,577,346,89,92,98,102
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100118,6,-666,-666,22,-666,-666,66,-666,-666,237,3,237,3,319,214,103,42,8,0,0,0,7,7,0,0,0,462,231,578,347,88,92,98,101
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100119,6,-666,-666,22,-666,-666,67,-666,-666,251,3,251,3,319,214,104,42,8,0,0,0,7,7,0,0,0,463,231,579,347,88,92,98,101
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100120,7,-666,-666,22,-666,-666,67,-666,-666,265,3,265,3,319,214,104,42,8,0,0,0,7,7,0,0,0,464,232,580,348,88,92,97,100
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100121,7,-666,-666,22,-666,-666,67,-666,-666,279,3,279,3,319,214,105,43,7,0,0,0,7,6,0,0,0,464,232,581,348,87,92,97,100
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100122,7,-666,-666,22,-666,-666,68,-666,-666,294,3,294,3,319,214,105,43,7,0,0,0,6,6,0,0,0,465,233,582,349,87,92,97,99
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100123,7,-666,-666,22,-666,-666,68,-666,-666,308,3,308,3,319,215,106,43,6,0,0,0,6,6,0,0,0,466,233,583,350,86,92,97,99
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100124,7,-666,-666,22,-666,-666,68,-666,-666,323,4,323,4,318,215,106,43,6,0,0,0,6,5,0,0,0,467,234,584,350,86,92,97,99
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100125,7,-666,-666,22,-666,-666,68,-666,-666,337,4,337,4,318,215,106,44,6,0,0,0,6,5,0,0,0,468,234,585,351,86,92,97,98
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100126,7,-666,-666,22,-666,-666,68,-666,-666,351,4,351,4,318,215,106,44,5,0,0,0,6,5,0,0,0,469,235,586,352,86,92,96,98
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100127,7,-666,-666,22,-666,-666,67,-666,-666,365,4,365,4,318,216,106,44,5,0,0,0,5,5,0,0,0,470,235,588,353,86,92,96,98
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100128,7,-666,-666,22,-666,-666,67,-666,-666,380,4,380,4,318,216,106,44,4,0,0,0,5,4,0,0,0,471,236,589,353,85,92,96,98
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100129,7,-666,-666,22,-666,-666,67,-666,-666,394,4,394,4,319,216,106,44,4,0,0,0,5,4,0,0,0,472,236,590,354,85,92,96,97
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100130,7,-666,-666,22,-666,-666,67,-666,-666,409,4,409,4,319,216,106,45,4,0,0,0,5,4,0,0,0,474,236,592,355,85,92,96,97
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100131,7,-666,-666,22,-666,-666,68,-666,-666,424,4,424,4,318,216,106,45,3,0,0,0,5,3,0,0,0,475,237,593,357,85,92,96,97
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20100201,7,-666,-666,22,-666,-666,68,-666,-666,15,0,439,4,318,216,107,46,-9999,0,0,0,5,-9999,0,0,0,476,237,595,358,84,92,95,97
