STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141101,0,0,0,122,28
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141102,0,0,0,172,-16
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141103,0,0,0,194,-27
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141104,0,0,0,222,6
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141105,0,0,0,217,78
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141106,3,0,0,256,122
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141107,0,0,0,172,17
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141108,0,0,0,161,-5
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141109,0,0,0,217,39
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141110,0,0,0,233,11
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141111,0,0,0,233,17
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141112,0,0,0,267,56
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141113,0,0,0,128,28
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141114,0,0,0,106,-16
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141115,0,0,0,117,-32
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141116,0,0,0,189,-16
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141117,274,0,0,194,11
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141118,0,0,0,56,-49
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141119,0,0,0,106,-82
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141120,0,0,0,183,-43
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141121,0,0,0,194,-5
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141122,28,0,0,178,-5
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141123,632,0,0,194,100
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141124,0,0,0,256,172
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141125,94,0,0,183,72
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141126,64,0,0,156,50
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141127,0,0,0,117,0
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141128,0,0,0,106,-38
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141129,0,0,0,167,-32
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141130,0,0,0,211,-5
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141201,0,0,0,233,22
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20141202,0,0,0,239,33
