STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141101,20,0,0,128,61
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141102,0,0,0,156,56
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141103,0,0,0,167,67
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141104,5,0,0,139,72
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141105,0,0,0,183,67
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141106,0,0,0,167,78
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141107,0,0,0,150,83
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141108,0,0,0,161,78
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141109,0,0,0,144,61
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141110,0,0,0,167,28
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141111,0,0,0,156,-10
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141112,43,0,0,122,-5
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141113,23,0,0,156,61
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141114,0,0,0,172,89
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141115,18,0,0,156,28
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141116,0,0,0,133,-16
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141117,0,0,0,122,-49
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20141118,0,0,0,89,-38
