STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141101,0,0,0,256,139
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141102,0,0,0,217,111
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141103,0,0,0,256,156
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141104,0,0,0,272,211
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141105,38,0,0,278,228
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141106,0,0,0,289,200
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141107,0,0,0,289,194
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141108,0,0,0,283,189
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141109,366,0,0,244,194
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141110,91,0,0,250,189
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141111,0,0,0,267,172
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141112,0,0,0,289,172
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141113,0,0,0,289,200
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141114,0,0,0,283,189
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141115,0,0,0,278,183
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141116,0,0,0,283,233
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141117,10,0,0,306,239
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141118,0,0,0,272,139
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141119,81,0,0,183,128
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141120,0,0,0,256,167
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141121,84,0,0,239,211
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141122,0,0,0,272,239
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141123,0,0,0,283,244
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141124,0,0,0,311,244
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141125,0,0,0,294,256
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141126,5,0,0,283,150
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141127,0,0,0,228,133
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20141128,0,0,0,217,117
