STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141101,46,0,0,89,61
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141102,0,0,0,89,56
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141103,0,0,0,167,50
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141104,0,0,0,206,128
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141105,0,0,0,178,139
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141106,86,0,0,150,89
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141107,0,0,0,111,50
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141108,0,0,0,89,33
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141109,0,0,0,139,83
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141110,0,0,0,161,56
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141111,0,0,0,178,83
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141112,0,0,0,189,78
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141113,43,0,0,89,28
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141114,8,0,0,61,22
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141115,0,0,0,56,11
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141116,5,0,0,67,17
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141117,378,0,0,117,39
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141118,0,0,0,78,-43
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141119,0,0,0,17,-55
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141120,0,0,0,78,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141121,0,0,0,28,-21
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141122,0,0,0,67,-16
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141123,0,0,0,128,67
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141124,155,0,0,189,94
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141125,0,0,0,194,106
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141126,272,0,10,106,11
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20141127,3,0,0,33,17
