STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014735,ALBANY AIRPORT NY US,20100101,3,2,3,10,3,8,27,7,21,8,6,8,6,406,199,55,9,519,72,319,191,287,129,8,55,29,236,153,313,160,107,63,105,117
GHCND:USW00014735,ALBANY AIRPORT NY US,20100102,3,2,3,10,3,8,27,7,21,16,11,16,11,407,198,55,9,526,74,327,197,291,130,8,55,30,234,154,311,157,107,64,106,118
GHCND:USW00014735,ALBANY AIRPORT NY US,20100103,2,2,3,9,3,8,27,7,21,25,17,25,17,408,197,56,9,534,77,334,203,294,130,9,56,30,233,155,310,155,108,64,107,119
GHCND:USW00014735,ALBANY AIRPORT NY US,20100104,2,2,3,9,4,7,27,7,21,33,22,33,22,408,196,56,9,541,79,342,209,296,131,9,56,30,231,155,308,153,109,65,108,120
GHCND:USW00014735,ALBANY AIRPORT NY US,20100105,2,2,3,9,4,7,27,7,20,41,28,41,28,409,195,56,9,549,82,349,214,299,131,9,56,30,229,156,307,151,110,65,109,121
GHCND:USW00014735,ALBANY AIRPORT NY US,20100106,2,2,3,9,4,7,27,7,20,50,33,50,33,410,194,56,9,556,84,356,220,302,131,9,56,31,228,156,306,150,111,65,109,122
GHCND:USW00014735,ALBANY AIRPORT NY US,20100107,2,2,3,9,4,7,27,7,20,58,39,58,39,410,193,57,9,563,87,363,225,305,132,9,57,31,227,157,305,148,112,66,110,123
GHCND:USW00014735,ALBANY AIRPORT NY US,20100108,2,2,3,9,4,7,27,7,20,66,44,66,44,410,192,57,9,570,89,369,231,307,132,9,57,31,225,158,304,147,113,66,111,123
GHCND:USW00014735,ALBANY AIRPORT NY US,20100109,2,2,3,9,4,7,27,7,20,74,50,74,50,410,191,57,9,577,92,376,237,309,133,10,57,31,224,158,304,145,113,66,112,124
GHCND:USW00014735,ALBANY AIRPORT NY US,20100110,2,2,3,8,4,7,27,7,20,82,56,82,56,410,189,58,9,584,94,383,242,311,133,10,57,31,224,159,303,144,114,67,112,125
GHCND:USW00014735,ALBANY AIRPORT NY US,20100111,2,2,3,8,4,7,27,7,19,90,62,90,62,410,188,58,9,590,96,389,248,313,133,10,58,31,223,159,302,143,114,67,112,126
GHCND:USW00014735,ALBANY AIRPORT NY US,20100112,2,2,3,8,4,7,27,7,19,99,68,99,68,409,187,59,9,596,98,395,253,314,133,10,58,31,222,160,302,142,115,67,113,126
GHCND:USW00014735,ALBANY AIRPORT NY US,20100113,2,2,3,8,4,7,27,7,19,107,74,107,74,408,185,59,10,602,100,401,259,315,132,10,58,31,222,160,302,142,115,68,113,126
GHCND:USW00014735,ALBANY AIRPORT NY US,20100114,2,2,2,8,4,6,27,8,19,116,80,116,80,408,184,59,10,607,101,407,264,316,132,10,58,31,221,161,302,141,115,68,113,127
GHCND:USW00014735,ALBANY AIRPORT NY US,20100115,2,2,2,8,4,6,27,8,19,124,86,124,86,407,183,60,10,612,103,412,268,317,132,10,58,31,221,161,302,141,115,69,113,127
GHCND:USW00014735,ALBANY AIRPORT NY US,20100116,2,2,2,8,4,6,27,8,19,133,92,133,92,406,182,60,10,617,105,417,273,317,132,10,58,31,221,161,302,140,115,69,113,127
GHCND:USW00014735,ALBANY AIRPORT NY US,20100117,2,2,2,8,4,6,27,8,18,141,99,141,99,405,181,60,11,621,106,421,277,318,131,10,58,30,221,162,302,140,115,69,112,127
GHCND:USW00014735,ALBANY AIRPORT NY US,20100118,2,2,2,8,4,6,27,8,18,150,104,150,104,404,180,60,11,625,108,425,281,318,131,10,58,30,221,162,302,140,115,70,112,127
