STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100101,2,2,3,5,3,8,13,5,21,2,3,2,3,201,66,-9999,0,428,-9999,254,116,180,73,0,31,11,246,226,359,133,125,70,132,128
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100102,2,2,3,5,3,8,14,5,21,4,5,4,5,201,67,-9999,0,429,-9999,255,116,181,74,0,32,11,246,226,359,133,125,70,131,127
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100103,2,2,3,5,3,8,14,5,22,6,8,6,8,201,67,-9999,0,430,-9999,255,116,181,75,0,33,11,246,226,359,133,124,70,131,127
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100104,2,2,3,5,3,8,14,5,22,7,10,7,10,200,68,-9999,0,431,-9999,256,116,182,77,0,34,11,246,226,359,133,124,70,131,126
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100105,2,2,3,6,3,8,14,5,22,9,13,9,13,199,69,-9999,0,433,-9999,256,116,182,78,0,34,11,246,226,360,133,124,70,131,126
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100106,2,2,3,6,3,8,14,5,23,11,15,11,15,199,70,-9999,0,434,-9999,256,115,183,79,0,35,11,247,226,360,133,124,71,131,126
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100107,2,2,3,6,3,8,15,5,23,13,18,13,18,198,70,-9999,0,435,-9999,255,115,183,80,0,36,10,247,226,360,134,123,71,131,126
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100108,2,2,3,6,3,8,15,5,23,15,21,15,21,198,71,-9999,0,436,-9999,254,114,183,81,0,36,10,247,226,360,134,123,71,131,125
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100109,2,2,3,6,3,8,15,5,23,17,24,17,24,197,71,-9999,0,437,-9999,254,114,184,83,0,37,10,247,226,360,135,123,72,131,125
GHCND:USC00240801,BILLINGS WEATHER FORECAST OFFICE MT US,20100110,2,2,3,6,3,9,15,5,24,19,27,19,27,198,72,-9999,0,438,-9999,252,113,185,84,0,38,9,248,225,360,135,123,72,131,125
