STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100101,3,2,3,8,4,6,17,6,14,5,2,5,2,363,156,14,0,303,15,190,125,197,72,0,17,3,297,132,363,232,96,53,93,107
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100102,3,2,3,8,4,6,17,6,14,9,4,9,4,362,156,14,0,305,15,190,126,196,72,0,16,3,298,131,364,232,96,53,92,106
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100103,3,2,3,8,4,6,17,6,14,14,7,14,7,360,155,14,0,306,16,190,127,195,71,0,16,3,299,131,364,233,95,53,92,106
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100104,3,2,3,8,4,6,17,6,14,19,9,19,9,358,155,13,0,308,16,190,127,194,71,0,16,3,299,130,365,234,95,54,91,105
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100105,3,2,3,8,4,6,17,6,14,23,11,23,11,357,154,13,0,308,15,190,127,193,70,0,15,3,300,130,365,235,94,54,90,105
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100106,3,2,3,8,4,6,17,6,14,28,13,28,13,355,154,13,0,309,15,189,127,192,69,0,15,3,301,130,366,236,93,54,90,104
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100107,3,2,3,8,4,6,17,6,14,32,15,32,15,354,154,12,0,309,15,188,126,191,69,0,15,3,302,129,367,237,93,54,89,103
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100108,3,2,3,8,4,6,17,6,14,37,16,37,16,352,154,12,0,309,15,187,125,189,68,0,14,3,303,129,367,238,92,54,89,102
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100109,3,2,3,8,4,6,17,6,14,41,18,41,18,350,153,11,0,308,14,185,123,187,67,0,14,3,304,129,368,239,91,54,88,101
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100110,3,2,3,8,3,6,17,6,14,46,20,46,20,349,153,11,0,307,14,183,122,185,65,0,14,3,305,129,369,240,90,54,87,101
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100111,3,2,3,8,3,6,16,6,13,50,22,50,22,347,152,11,0,306,13,181,119,184,64,0,13,3,306,129,370,242,89,54,87,100
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100112,3,2,3,8,3,6,16,6,13,54,23,54,23,345,152,10,0,304,13,178,117,181,63,0,13,3,307,128,371,243,89,54,86,99
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100113,3,2,3,8,3,6,16,6,13,59,25,59,25,344,151,10,0,302,12,175,114,179,62,0,13,3,308,128,372,244,88,54,86,98
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100114,3,2,3,8,3,6,16,6,13,63,27,63,27,342,151,9,0,300,12,172,110,177,61,0,12,3,309,128,373,245,88,54,86,97
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100115,3,2,3,8,3,6,16,6,13,66,28,66,28,341,150,9,0,297,11,169,107,175,60,0,12,3,310,128,374,246,87,54,86,97
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100116,3,2,3,8,3,6,16,6,13,70,30,70,30,339,149,9,0,295,10,165,103,173,59,0,11,3,311,128,376,247,87,54,86,96
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100117,3,2,3,8,3,6,16,6,13,74,31,74,31,338,148,8,0,292,10,161,98,171,57,0,11,2,313,129,377,248,87,54,86,96
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100118,3,2,3,8,3,6,16,6,13,78,33,78,33,336,147,8,0,289,9,156,94,169,57,0,11,2,314,129,378,249,87,54,86,96
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100119,3,1,3,8,3,6,16,5,13,82,34,82,34,336,146,8,0,285,8,152,89,167,56,0,10,2,315,129,380,250,87,54,86,96
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100120,3,1,2,8,3,6,16,5,13,86,36,86,36,335,146,7,0,282,8,147,85,165,55,0,10,2,316,130,381,252,87,54,87,96
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100121,3,1,2,8,3,6,16,5,13,89,37,89,37,335,145,7,0,278,7,143,81,163,54,0,10,2,318,130,383,253,87,54,87,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100122,3,1,2,8,3,6,16,5,13,93,39,93,39,335,145,7,0,274,7,138,76,161,53,0,9,2,319,131,384,254,87,54,87,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100123,3,1,2,8,3,6,16,5,13,97,40,97,40,334,145,7,0,270,6,134,72,159,53,0,9,2,320,131,386,255,88,54,88,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100124,3,1,2,7,3,6,16,5,13,100,42,100,42,334,144,7,0,265,5,129,68,157,52,0,9,2,322,132,388,256,88,54,88,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100125,3,1,2,7,2,6,16,5,13,104,43,104,43,333,144,7,0,261,5,125,63,154,51,0,9,2,323,133,389,257,88,54,89,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100126,3,1,2,7,2,6,16,4,13,107,44,107,44,332,143,7,0,256,4,121,59,152,51,0,9,2,324,134,391,258,88,55,89,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100127,3,1,2,7,2,6,16,4,13,110,46,110,46,332,143,7,0,251,4,117,55,150,50,0,8,1,326,135,393,259,88,55,89,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100128,3,1,2,7,2,6,16,4,13,114,47,114,47,332,142,7,0,246,3,113,51,148,50,0,8,1,327,136,395,260,88,55,89,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100129,3,1,2,7,2,6,16,4,13,117,48,117,48,331,142,7,0,240,3,109,47,146,50,0,8,1,329,137,397,261,88,55,89,95
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100130,3,1,2,7,2,6,16,4,13,120,50,120,50,330,141,7,0,235,2,105,43,144,49,0,8,1,331,138,400,262,88,55,90,94
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100131,3,1,2,7,2,6,16,4,13,124,51,124,51,330,141,6,0,229,2,101,39,143,48,0,8,1,332,139,402,263,88,54,90,94
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100201,3,1,2,7,2,6,15,4,13,3,1,127,52,329,141,6,0,223,-9999,97,36,141,48,0,8,-9999,334,141,404,264,87,54,89,93
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100202,2,1,2,7,2,6,15,4,13,7,3,131,54,329,140,6,0,217,-9999,93,33,139,47,0,8,-9999,336,142,407,265,87,55,89,93
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100203,2,1,2,7,2,6,15,4,13,10,4,134,55,329,140,6,0,211,-9999,89,29,137,46,0,8,-9999,338,144,409,266,86,55,89,92
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100204,2,1,2,7,2,6,15,3,13,14,5,138,56,329,139,6,0,205,-9999,85,27,135,46,0,8,-9999,339,145,412,267,86,55,89,91
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100205,2,1,2,7,2,6,15,3,13,17,7,141,58,329,139,6,0,199,0,82,24,133,45,0,8,-9999,341,147,415,268,86,55,89,91
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100206,2,1,2,7,2,6,15,3,13,21,8,145,59,330,139,6,0,193,0,78,22,131,44,0,8,-9999,343,149,418,269,85,55,89,90
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100207,2,1,2,7,2,6,15,3,13,25,9,149,60,331,140,6,0,186,0,74,19,130,44,0,7,-9999,346,150,421,270,85,55,89,89
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100208,2,1,2,7,2,6,15,3,12,28,10,152,61,331,140,6,0,180,0,70,17,128,43,0,7,-9999,348,152,424,272,84,55,89,88
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100209,2,1,2,7,2,6,15,3,12,32,11,156,62,332,141,6,0,174,0,66,15,126,43,0,7,0,350,154,427,273,84,55,89,88
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100210,2,1,2,7,2,6,15,3,12,35,12,159,63,333,141,7,0,167,0,63,13,125,42,0,7,0,352,156,430,274,84,55,89,87
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100211,2,1,2,7,2,6,16,3,12,39,14,163,65,334,142,7,0,160,0,60,12,123,41,0,7,0,354,158,433,276,83,55,89,86
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100212,2,1,2,7,2,6,16,3,12,42,15,166,66,335,143,7,0,154,0,56,11,121,41,0,7,0,357,160,437,277,83,55,89,85
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100213,2,1,2,7,2,6,16,3,12,45,16,169,67,336,144,7,0,147,0,53,10,119,40,0,6,0,359,161,440,279,82,56,89,84
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100214,2,1,2,7,2,6,16,3,12,49,17,173,68,336,144,7,0,140,0,50,9,117,40,0,6,0,362,163,443,280,81,56,88,83
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100215,3,1,2,7,2,6,16,3,12,52,18,176,69,336,145,7,0,133,0,47,8,115,39,0,6,0,364,165,447,282,80,56,88,82
GHCND:USW00024131,BOISE AIR TERMINAL ID US,20100216,3,1,2,7,2,6,16,3,12,55,19,179,70,336,145,7,0,127,0,44,7,113,38,0,6,0,367,167,451,284,79,56,87,81
