STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100101,3,2,3,10,5,8,24,9,22,12,9,12,9,613,313,60,15,603,152,435,334,484,223,13,86,42,262,122,323,200,105,64,111,108
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100102,3,2,3,10,5,8,23,9,22,23,18,23,18,614,312,60,15,609,155,442,340,487,224,13,86,41,260,123,321,199,105,65,111,109
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100103,3,2,3,10,5,8,23,9,22,35,27,35,27,616,310,59,15,615,158,449,346,489,226,13,86,41,259,123,320,197,106,65,112,110
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100104,3,2,3,10,5,8,23,10,22,47,36,47,36,617,309,58,15,621,161,455,351,492,227,13,86,40,257,123,319,195,106,65,112,110
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100105,3,2,3,10,5,8,22,10,21,59,46,59,46,618,308,57,15,628,164,461,357,495,228,13,86,40,256,124,318,194,107,65,113,111
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100106,3,2,3,9,5,8,22,10,21,71,55,71,55,619,306,56,15,634,167,467,362,498,228,12,85,39,255,124,317,193,107,66,113,111
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100107,3,2,3,9,5,8,22,10,21,82,65,82,65,620,304,55,15,641,169,473,366,501,229,12,85,38,253,124,315,191,108,66,113,112
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100108,3,2,3,9,5,8,21,10,21,93,74,93,74,620,302,54,15,648,170,478,370,503,229,12,84,38,252,125,315,190,108,66,114,112
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100109,3,2,3,9,5,8,21,10,21,104,82,104,82,621,300,54,15,654,171,483,374,505,230,11,84,37,251,125,314,189,108,66,114,112
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100110,3,2,3,9,5,8,21,10,21,114,91,114,91,621,298,53,15,661,172,488,377,508,231,11,84,37,250,125,313,188,108,66,114,113
GHCND:USW00014733,BUFFALO NIAGARA INTERNATIONAL AIRPORT NY US,20100111,3,2,3,9,5,8,21,10,20,125,99,125,99,621,296,52,15,667,173,493,380,510,231,11,83,36,249,125,312,187,108,66,114,113
