STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100101,3,1,3,10,2,8,26,3,17,10,3,10,3,479,248,61,13,257,11,105,35,223,94,4,22,8,345,160,425,265,117,84,131,117
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100102,3,1,3,10,2,8,26,3,17,19,7,19,7,479,248,61,13,261,12,108,37,226,94,4,22,8,344,160,425,264,117,84,131,117
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100103,3,1,3,10,2,7,26,3,17,29,10,29,10,480,248,61,13,265,13,112,39,229,94,4,23,8,344,160,424,264,117,84,131,117
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100104,3,1,3,10,2,7,26,3,16,38,14,38,14,481,248,60,13,268,14,116,41,232,95,4,24,8,343,160,423,263,117,84,131,118
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100105,3,1,3,10,2,7,26,3,16,48,17,48,17,482,247,60,13,272,14,120,43,235,95,4,24,9,343,160,423,262,117,84,131,118
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100106,3,1,3,10,2,7,25,4,16,58,21,58,21,482,247,60,13,275,15,123,45,238,95,4,25,9,342,160,422,262,117,85,131,118
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100107,3,1,3,10,2,7,25,4,16,68,24,68,24,482,247,60,13,278,16,127,47,241,96,4,25,9,342,160,422,261,117,85,131,118
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100108,3,1,3,10,2,7,25,4,16,77,28,77,28,483,246,60,13,281,16,130,49,244,95,4,26,9,341,161,422,261,117,85,131,119
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100109,3,1,3,10,3,7,25,4,16,87,32,87,32,483,245,60,13,284,17,133,51,246,95,4,26,9,341,161,421,261,117,85,131,119
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100110,3,1,3,10,3,7,25,4,16,96,35,96,35,484,244,60,13,287,17,136,53,248,95,4,27,9,341,161,421,261,117,85,130,119
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100111,3,1,3,10,3,7,25,4,16,106,39,106,39,484,244,60,13,290,18,139,55,251,95,4,27,9,341,161,421,261,117,85,130,119
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100112,3,1,3,10,3,7,25,4,16,115,42,115,42,484,243,60,13,292,18,142,57,253,95,4,28,9,341,161,421,260,117,85,130,118
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100113,3,1,3,10,3,6,25,4,16,125,46,125,46,484,242,60,13,295,19,145,58,255,96,4,28,9,341,161,421,260,116,85,130,118
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100114,3,1,3,10,3,6,26,4,16,134,50,134,50,484,242,61,13,297,19,148,60,256,96,4,29,9,341,161,422,261,116,85,129,118
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100115,3,1,3,10,3,6,26,4,16,144,54,144,54,483,241,61,13,299,19,151,62,257,97,3,30,9,341,161,422,261,116,85,129,118
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100116,3,1,3,10,3,6,26,4,16,154,58,154,58,483,241,61,13,301,20,154,64,259,97,3,30,9,341,161,422,261,116,85,129,117
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100117,3,1,3,10,3,6,26,4,16,163,62,163,62,483,241,62,13,303,20,156,67,259,98,3,31,10,342,161,422,261,115,85,129,117
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100118,3,1,3,10,3,6,27,4,16,173,66,173,66,483,241,62,13,304,21,159,69,260,99,3,32,10,342,162,423,261,115,86,128,117
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100119,3,1,3,10,3,6,27,4,16,183,69,183,69,482,241,63,13,305,21,161,71,262,99,3,33,10,343,162,423,262,115,86,128,116
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20100120,3,1,3,10,3,6,27,4,16,192,73,192,73,482,241,63,13,306,21,162,73,263,100,3,33,10,343,162,424,262,114,86,128,116
