STATION,STATION_NAME,DATE,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,*,*,*,*
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,166,425,259,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,165,423,258,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,165,422,257,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,164,421,257,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,164,420,256,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,163,419,256,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,163,418,256,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,162,418,255,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,162,417,255,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,162,417,255,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,162,417,255,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,161,417,255,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,161,417,255,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,162,417,256,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,162,418,256,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,162,418,256,0,0,0,0
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20100117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,162,419,256,0,0,0,0
