STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100101,2,2,2,7,4,7,18,7,20,4,3,4,3,251,101,14,4,474,59,328,228,198,85,0,27,8,229,160,309,149,123,78,130,128
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100102,2,2,2,7,4,7,18,7,20,7,5,7,5,250,100,14,3,480,59,332,230,199,84,0,27,8,228,161,309,148,123,78,130,128
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100103,2,2,2,7,4,7,18,7,20,10,8,10,8,249,99,13,3,486,59,336,232,199,84,0,27,8,228,161,308,147,122,79,130,128
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100104,2,2,2,7,4,7,18,7,20,14,10,14,10,249,98,13,3,492,59,340,235,200,84,0,27,8,227,162,308,146,122,79,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100105,2,2,2,7,4,7,18,7,20,17,13,17,13,248,97,12,3,498,58,344,237,201,84,0,27,8,226,162,308,145,122,79,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100106,2,2,2,7,4,6,17,7,20,20,15,20,15,247,96,12,3,503,57,348,238,202,83,0,27,8,226,163,307,145,122,79,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100107,2,2,2,7,4,6,17,7,19,23,18,23,18,246,96,12,3,509,56,351,240,203,83,0,27,8,225,163,307,144,122,79,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100108,2,2,2,7,4,6,17,7,19,26,20,26,20,246,95,11,3,515,56,355,241,204,83,0,27,7,225,164,307,143,122,79,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100109,2,2,2,7,4,6,17,7,19,29,23,29,23,246,95,11,3,521,55,359,242,206,83,0,27,7,225,164,307,143,121,80,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100110,2,2,2,7,4,6,17,7,19,33,25,33,25,245,94,11,3,526,55,362,243,207,83,1,27,7,224,165,307,142,121,80,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100111,2,2,2,6,4,6,17,7,19,35,28,35,28,245,94,11,3,532,55,366,244,208,83,1,27,7,224,165,307,141,121,80,129,126
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100112,2,2,2,7,4,6,17,7,19,38,31,38,31,244,94,11,3,537,55,369,244,209,83,1,27,7,224,166,307,141,121,80,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100113,2,2,2,7,4,6,17,7,19,41,34,41,34,244,94,11,2,543,55,372,245,211,83,1,27,7,224,166,307,141,121,80,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100114,2,2,2,7,4,6,17,6,18,45,36,45,36,244,94,10,2,548,55,375,245,212,83,1,27,8,224,167,307,140,122,80,129,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100115,2,2,2,7,4,6,17,6,18,48,39,48,39,245,94,10,2,553,55,378,246,213,84,1,27,8,224,167,307,140,122,80,130,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100116,2,2,2,7,4,6,17,6,18,51,42,51,42,245,95,10,2,557,55,381,246,214,84,1,27,8,224,168,307,140,122,80,130,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100117,2,2,2,7,4,6,17,6,18,54,45,54,45,246,95,11,2,562,55,384,247,216,84,1,27,8,224,168,308,140,123,80,131,128
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100118,2,2,2,7,4,6,17,6,18,57,48,57,48,247,96,11,2,566,55,387,247,217,85,1,28,8,224,168,308,140,123,80,131,128
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100119,2,2,2,7,4,6,17,6,18,60,50,60,50,248,97,11,2,570,55,389,247,219,86,1,28,8,224,169,309,140,124,81,132,128
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100120,2,2,2,7,4,6,17,6,18,63,53,63,53,249,98,11,2,574,55,392,247,220,87,1,28,9,224,169,309,140,124,81,132,129
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100121,2,2,2,7,4,6,17,6,18,66,56,66,56,251,99,11,2,578,55,394,248,220,87,1,29,9,225,170,310,140,125,81,133,129
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100122,2,2,2,7,4,6,17,6,18,69,59,69,59,252,101,12,2,580,56,395,248,221,88,1,29,9,225,170,310,140,125,81,133,130
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100123,2,2,2,7,4,6,17,6,18,72,61,72,61,253,102,12,2,583,57,397,248,222,89,1,29,10,226,170,311,141,126,81,134,130
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100124,2,2,2,7,4,6,17,6,18,75,64,75,64,255,104,12,2,585,57,398,248,223,89,1,30,10,227,171,312,141,126,81,134,130
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100125,2,2,2,7,4,6,17,6,18,79,67,79,67,256,105,13,2,586,58,399,248,223,90,1,30,10,228,171,313,142,126,81,134,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100126,2,2,2,7,4,6,17,6,18,82,70,82,70,257,106,13,1,586,59,400,248,223,90,1,31,11,228,171,314,143,126,81,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100127,2,2,2,7,4,6,17,6,18,86,73,86,73,258,108,13,1,586,59,400,247,223,90,1,31,11,230,171,315,144,127,81,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100128,2,2,2,7,4,6,18,6,18,89,76,89,76,259,109,14,1,585,60,400,247,223,90,1,31,11,231,171,316,145,127,82,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100129,2,2,2,8,4,6,18,6,18,92,79,92,79,261,111,14,1,583,60,399,246,222,91,1,32,11,232,172,318,146,127,82,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100130,2,2,2,8,4,6,18,6,18,96,82,96,82,262,112,15,1,581,61,398,246,222,91,1,32,11,233,172,319,147,127,82,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100131,2,2,2,8,4,6,18,6,18,100,85,100,85,262,113,15,1,579,61,397,245,222,91,1,32,11,235,172,321,149,127,82,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100201,2,2,2,8,4,6,18,6,18,4,3,104,88,264,114,16,1,576,62,395,244,221,91,-9999,32,11,236,172,322,150,127,82,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100202,2,2,2,8,4,6,18,6,18,8,7,108,92,265,115,16,1,573,63,393,243,220,92,-9999,33,11,238,172,324,152,127,82,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100203,2,2,2,8,4,7,18,7,18,12,10,112,95,266,117,16,1,570,64,391,242,220,92,-9999,33,12,240,172,326,154,127,82,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100204,2,2,2,8,4,7,19,7,18,16,13,116,98,267,118,17,2,566,64,388,241,218,92,-9999,33,12,242,172,328,156,127,82,135,131
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100205,2,2,2,8,4,7,19,7,18,20,16,120,101,268,120,17,2,561,65,386,240,217,92,-9999,34,12,244,172,330,158,126,82,135,130
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100206,2,2,2,8,4,7,19,7,19,24,19,124,104,269,121,18,2,556,65,383,239,215,92,-9999,34,12,247,172,333,161,126,82,135,130
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100207,2,2,2,8,4,7,19,7,19,28,23,128,108,270,122,18,2,550,65,380,238,213,91,-9999,34,12,249,172,335,163,126,82,135,130
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100208,2,2,2,8,4,7,19,7,19,32,26,132,111,271,123,19,2,544,65,376,236,211,91,-9999,34,12,252,172,338,165,126,81,135,129
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100209,2,2,2,9,4,7,20,7,19,37,29,137,114,273,124,19,2,538,64,373,234,209,90,-9999,34,12,254,172,340,168,125,81,135,129
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100210,2,2,2,9,4,7,20,7,19,41,32,141,117,274,126,20,2,531,64,368,232,207,89,-9999,34,12,257,172,343,171,125,81,135,128
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100211,2,2,2,9,4,7,20,7,19,45,35,145,120,275,126,20,2,524,63,364,230,204,88,-9999,34,12,260,172,346,174,124,81,134,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100212,3,2,2,9,4,7,20,7,19,50,38,150,123,276,128,21,2,517,62,359,227,201,87,-9999,34,12,263,172,349,177,124,81,134,127
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100213,3,2,2,9,4,7,20,7,19,54,41,154,126,277,129,21,3,509,61,354,224,198,86,-9999,34,12,266,172,352,180,123,82,134,126
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100214,3,2,2,9,4,7,20,7,19,58,44,158,129,278,129,22,3,500,60,348,221,195,85,-9999,34,12,269,172,356,183,123,82,134,125
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100215,3,2,2,9,4,7,20,7,19,62,46,162,131,278,130,22,3,491,59,341,217,192,83,-9999,33,12,273,172,359,187,122,82,133,125
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100216,3,2,2,9,4,7,21,7,19,67,49,167,134,278,131,23,3,482,58,335,214,188,81,-9999,33,12,276,172,362,190,122,82,133,124
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100217,3,2,2,9,4,7,21,7,19,71,52,171,137,279,131,24,3,472,56,327,209,185,79,-9999,33,12,280,173,366,194,121,82,133,123
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100218,3,2,2,9,4,7,21,7,20,76,55,176,140,279,131,24,3,462,55,320,205,181,77,-9999,32,11,284,173,370,197,121,82,133,122
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100219,3,2,2,9,4,7,21,7,20,81,57,181,142,279,132,24,3,451,54,312,200,178,76,-9999,32,11,287,173,374,201,120,82,133,121
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100220,3,2,2,9,4,7,22,6,20,85,60,185,145,279,132,25,3,440,52,304,195,175,74,-9999,31,11,291,173,378,205,119,82,132,120
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT IA US,20100221,3,2,2,9,4,6,22,6,20,90,62,190,147,280,132,25,4,429,51,295,189,171,72,-9999,31,10,295,173,382,208,119,83,132,119
