STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100101,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,107,320,213,100,56,103,106
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100102,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,107,319,212,101,56,103,106
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100103,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,107,318,211,101,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100104,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,108,317,209,101,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100105,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,108,316,208,101,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100106,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,109,315,207,102,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100107,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,109,315,206,102,56,104,107
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100108,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,109,314,205,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100109,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,110,314,204,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100110,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,110,313,203,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100111,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,110,313,202,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100112,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,111,312,202,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100113,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,111,312,201,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100114,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,111,312,201,102,56,104,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100115,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,111,312,200,102,56,103,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100116,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,111,312,200,101,56,103,108
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100117,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,112,311,200,101,56,103,108
