STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100101,4,15,47,8,0,8,0,244,151,58,27,0,0,0,0,0,0,0,0,0,540,236,658,422,95,79,96,109
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100102,4,15,47,17,0,17,0,245,152,59,28,0,0,0,0,0,0,0,0,0,540,236,658,422,94,80,96,108
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100103,5,15,47,25,0,25,0,247,153,59,28,0,0,0,0,0,0,0,0,0,539,237,658,421,94,80,96,108
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100104,5,15,47,33,0,33,0,249,154,59,29,0,0,0,0,0,0,0,0,0,539,237,657,421,94,80,96,108
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100105,5,15,46,42,0,42,0,252,155,60,29,0,0,0,0,0,0,0,0,0,539,237,657,420,94,80,96,108
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100106,5,15,46,51,0,51,0,254,157,60,30,0,0,0,0,0,0,0,0,0,538,237,657,420,93,80,95,107
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100107,5,15,46,61,0,61,0,257,158,61,30,0,0,0,0,0,0,0,0,0,538,237,657,420,93,80,95,107
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100108,5,15,47,70,0,70,0,259,160,61,31,0,0,0,0,0,0,0,0,0,538,238,657,419,93,80,95,107
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100109,5,15,47,80,0,80,0,261,162,62,31,0,0,0,0,0,0,0,0,0,538,238,657,419,93,80,95,107
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100110,5,16,47,89,0,89,0,264,164,63,32,0,0,0,0,0,0,0,0,0,538,238,657,419,93,80,95,107
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100111,5,16,47,99,0,99,0,266,166,64,33,0,0,0,0,0,0,0,0,0,538,238,658,419,92,80,94,107
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100112,5,16,47,109,0,109,0,268,169,65,34,0,0,0,0,0,0,0,0,0,539,238,658,419,92,80,94,106
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100113,5,16,48,120,0,120,0,270,171,66,34,0,0,0,0,0,0,0,0,0,539,239,658,420,92,81,94,106
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100114,5,16,48,131,0,131,0,272,173,67,35,0,0,0,0,0,0,0,0,0,539,239,659,420,91,81,93,106
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100115,6,17,49,142,0,142,0,274,175,68,35,0,0,0,0,0,0,0,0,0,540,239,659,420,91,81,93,105
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100116,6,17,49,153,0,153,0,275,176,68,35,0,0,0,0,0,0,0,0,0,540,239,660,421,91,81,93,105
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100117,6,17,49,163,0,163,0,277,178,69,36,0,0,0,0,0,0,0,0,0,541,239,660,421,90,81,93,104
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100118,6,17,50,175,0,175,0,278,180,70,36,0,0,0,0,0,0,0,0,0,541,239,661,421,90,81,93,104
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100119,6,17,50,186,0,186,0,279,181,71,37,0,0,0,0,0,0,0,0,0,542,240,662,422,89,81,92,104
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100120,6,17,51,198,0,198,0,280,182,72,37,0,0,0,0,0,0,0,0,0,543,240,662,423,89,81,92,103
