STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,*,*,*,*
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100101,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,153,253,99,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100102,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,154,252,97,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100103,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,155,251,95,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100104,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,157,250,93,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100105,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,158,249,92,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100106,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,159,249,90,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100107,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,160,248,88,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100108,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,161,248,87,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100109,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,162,247,85,0,0,0,0
GHCND:USC00473268,GREEN BAY WEATHER FORECAST OFFICE WI US,20100110,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,163,247,84,0,0,0,0
