STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,*,*,*,*,*,*,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101,6,23,65,9,0,9,0,188,130,57,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,160,643,484,45,72,68,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102,6,24,65,18,0,18,0,188,131,57,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,160,644,484,46,72,69,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103,6,24,66,27,0,27,0,189,132,58,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,160,644,484,46,72,69,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100104,7,24,66,36,0,36,0,189,132,58,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,160,644,485,46,72,69,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100105,7,24,66,45,0,45,0,188,132,58,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,160,645,485,46,72,69,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100106,7,24,66,54,0,54,0,188,132,58,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,160,645,485,46,72,69,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100107,7,24,66,62,0,62,0,188,132,58,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,160,645,486,46,72,70,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100108,7,25,66,71,0,71,0,187,132,58,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,160,646,486,46,72,70,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100109,7,25,66,80,0,80,0,187,133,58,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,160,646,486,46,72,70,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100110,7,25,66,90,0,90,0,187,133,58,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,160,646,486,46,72,70,45
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100111,7,25,66,99,0,99,0,187,134,58,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,160,646,487,46,72,70,45
