STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100101,3,-666,-666,10,-666,-666,26,-666,-666,9,1,9,1,450,235,50,14,13,0,1,0,59,21,0,4,0,389,135,457,322,58,68,67,67
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100102,3,-666,-666,10,-666,-666,26,-666,-666,19,1,19,1,448,233,49,13,13,0,1,0,58,21,0,4,0,390,135,457,322,58,68,67,67
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100103,3,-666,-666,10,-666,-666,26,-666,-666,28,2,28,2,446,232,48,13,13,0,1,0,57,20,0,4,0,390,136,458,323,58,68,67,67
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100104,3,-666,-666,10,-666,-666,25,-666,-666,36,2,36,2,444,231,46,13,13,0,1,0,57,20,0,4,0,391,136,459,323,57,68,67,66
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100105,3,-666,-666,10,-666,-666,25,-666,-666,45,3,45,3,442,230,46,12,12,0,1,0,56,20,0,4,0,392,137,460,323,57,68,67,66
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100106,3,-666,-666,10,-666,-666,25,-666,-666,54,3,54,3,440,229,45,12,12,0,2,0,55,20,0,4,0,392,137,461,324,57,69,67,66
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100107,3,-666,-666,10,-666,-666,25,-666,-666,64,4,64,4,438,228,44,12,12,0,2,0,55,19,0,4,0,393,138,462,324,56,69,67,65
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100108,3,-666,-666,10,-666,-666,25,-666,-666,73,4,73,4,435,228,43,12,12,0,2,0,54,19,0,4,0,394,139,463,325,56,69,67,65
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100109,3,-666,-666,10,-666,-666,25,-666,-666,82,4,82,4,432,226,43,11,11,0,2,0,53,19,0,4,0,395,140,465,325,56,69,66,65
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20100110,3,-666,-666,10,-666,-666,25,-666,-666,92,5,92,5,429,224,42,11,11,0,2,0,52,19,0,5,0,396,141,466,325,55,69,66,64
