STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,*,*,*,*,*,*,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100101,3,10,27,5,0,5,0,233,120,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,162,765,603,72,50,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100102,3,10,27,10,0,10,0,232,119,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,162,764,602,73,50,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100103,3,10,27,15,0,15,0,232,118,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,163,764,601,73,50,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100104,3,10,26,21,0,21,0,231,118,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,164,763,600,73,50,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100105,3,10,26,25,0,25,0,230,117,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,164,763,599,72,50,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100106,3,10,26,30,0,30,0,229,116,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,165,763,598,72,50,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100107,3,10,26,36,0,36,0,228,116,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,165,762,597,72,51,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100108,3,10,26,41,0,41,0,227,115,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,165,762,597,72,51,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100109,3,10,27,46,0,46,0,226,115,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,166,762,596,72,51,63,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100110,3,10,27,51,0,51,0,225,114,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,166,762,596,72,51,62,89
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100111,3,10,27,56,0,56,0,224,113,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,166,762,596,72,51,62,88
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100112,3,10,27,61,0,61,0,224,113,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,166,762,595,72,51,62,88
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100113,3,10,27,66,0,66,0,223,112,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,167,762,595,72,51,62,88
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100114,3,10,27,71,0,71,0,223,111,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,167,762,595,71,51,62,88
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100115,3,9,27,75,0,75,0,222,111,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,167,762,595,71,51,61,87
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100116,3,9,27,80,0,80,0,221,110,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,167,762,596,71,51,61,87
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100117,2,9,27,85,0,85,0,220,109,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,167,762,596,70,51,61,87
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100118,2,9,27,90,0,90,0,219,108,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,167,763,596,70,51,61,86
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100119,2,9,28,95,0,95,0,218,108,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,166,763,597,70,51,61,86
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100120,2,9,28,100,0,100,0,218,107,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,166,763,597,69,51,60,85
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100121,2,9,28,106,0,106,0,217,107,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,166,764,598,69,51,60,85
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100122,2,9,29,112,0,112,0,217,106,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,166,764,598,69,51,60,85
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100123,2,9,29,118,0,118,0,216,106,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,165,765,599,68,51,59,84
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100124,2,9,29,123,0,123,0,216,106,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,165,765,600,68,50,59,84
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100125,2,9,29,129,0,129,0,216,106,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,165,766,601,68,50,59,83
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100126,2,9,30,134,0,134,0,215,106,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,165,766,602,67,50,59,83
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100127,2,9,31,140,0,140,0,215,106,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,164,767,603,67,50,59,83
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100128,2,9,31,145,0,145,0,215,106,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,164,768,604,67,50,58,82
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100129,2,9,32,151,0,151,0,215,107,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,163,768,605,67,49,58,82
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100130,2,9,32,156,0,156,0,215,108,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,163,769,606,66,49,58,82
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100131,2,9,33,162,0,162,0,215,108,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,163,770,607,66,49,58,81
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100201,2,10,33,7,0,169,0,216,109,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,162,770,608,66,49,57,81
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100202,3,10,34,15,0,177,0,216,110,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,162,771,609,65,48,57,80
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100203,3,10,34,22,0,184,0,216,111,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,161,772,611,65,48,57,80
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100204,3,10,35,30,0,192,0,216,111,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,161,773,612,65,48,56,79
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100205,3,10,35,38,0,200,0,216,112,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,161,773,613,64,48,56,79
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100206,3,10,35,46,0,208,0,216,113,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,160,774,614,64,48,56,79
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100207,3,10,36,54,0,216,0,216,113,36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,160,775,615,64,48,56,78
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100208,3,11,36,62,0,224,0,217,114,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,159,776,616,63,48,55,78
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100209,3,11,37,70,0,232,0,217,115,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,159,777,618,63,48,55,78
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100210,3,11,37,78,0,240,0,217,116,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,159,777,619,63,48,55,77
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100211,3,11,38,86,0,248,0,217,117,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,158,778,620,62,47,55,77
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100212,3,11,38,95,0,257,0,217,118,38,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,158,779,621,62,47,54,77
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100213,3,11,39,104,0,266,0,217,118,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,158,780,622,62,47,54,77
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100214,3,11,39,113,0,275,0,218,119,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,158,781,623,62,47,54,76
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100215,3,11,39,122,0,284,0,219,120,39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,157,781,624,62,47,54,76
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100216,3,12,40,130,0,292,0,219,121,39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,157,782,625,61,48,54,76
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100217,3,12,40,138,0,300,0,220,122,39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,157,783,626,61,48,54,76
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100218,3,12,40,145,0,307,0,220,123,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,157,784,627,61,48,53,76
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100219,3,12,40,153,0,315,0,221,123,40,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,157,785,628,61,48,53,76
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20100220,4,12,41,160,0,322,0,221,124,40,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,156,785,629,61,48,53,76
