STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100101,2,1,2,6,2,6,13,4,19,1,2,1,2,122,42,3,-9999,322,3,151,66,122,49,0,17,7,243,277,382,105,115,101,143,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100102,2,1,2,6,2,6,13,4,19,3,3,3,3,123,42,3,-9999,325,3,152,66,123,49,0,17,6,244,277,382,105,115,101,142,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100103,2,1,2,6,2,6,13,4,19,4,5,4,5,123,41,3,-9999,326,3,153,66,123,49,0,17,6,244,277,383,105,115,102,143,105
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100104,2,1,2,6,2,6,13,4,19,5,6,5,6,123,41,3,-9999,328,3,154,66,123,49,0,17,6,244,278,383,106,114,102,143,105
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100105,2,1,2,5,2,6,13,4,19,6,8,6,8,124,40,3,-9999,329,3,154,66,124,49,0,17,6,245,278,384,106,114,102,143,105
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100106,2,1,2,5,2,6,13,4,18,7,9,7,9,124,40,3,0,330,4,154,65,124,49,0,17,6,245,278,384,106,114,102,142,104
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100107,2,1,2,5,2,6,13,4,18,8,11,8,11,125,40,3,0,330,4,154,65,124,48,0,17,6,246,278,385,107,113,103,142,104
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100108,2,1,2,5,2,6,13,4,18,10,13,10,13,125,40,3,0,330,4,154,64,125,49,0,17,6,246,278,385,107,113,103,142,103
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100109,2,1,2,5,2,6,12,4,18,11,14,11,14,126,39,3,0,329,4,154,64,126,48,0,17,6,246,278,386,107,113,103,142,103
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100110,2,1,2,5,2,6,12,4,18,12,16,12,16,127,39,3,0,328,4,153,63,126,48,0,17,5,247,278,386,108,112,104,142,102
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100111,2,1,2,5,2,6,12,4,18,13,18,13,18,128,38,3,0,327,4,153,63,127,48,0,17,5,247,279,386,108,112,104,141,102
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100112,2,1,2,5,2,6,12,4,18,14,19,14,19,129,38,3,0,326,5,152,63,128,48,0,17,5,248,279,387,108,112,104,141,102
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100113,2,1,2,5,2,6,12,4,17,15,21,15,21,130,38,3,0,325,5,151,63,129,48,0,17,5,248,279,387,109,112,105,142,102
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100114,2,1,2,5,2,6,12,4,17,16,22,16,22,132,38,3,0,324,5,151,62,131,48,0,16,5,248,279,388,109,112,105,142,102
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100115,2,1,2,5,2,6,11,4,17,17,24,17,24,133,37,2,0,324,5,150,62,132,48,0,16,5,249,279,388,110,112,106,142,102
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100116,2,1,2,5,2,6,11,4,17,18,25,18,25,135,37,2,0,323,5,149,62,133,48,0,16,4,249,279,389,110,112,106,142,103
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100117,2,1,2,5,2,6,11,4,17,19,27,19,27,137,37,2,0,322,5,149,62,134,48,0,16,4,250,279,389,110,112,106,143,103
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100118,2,1,2,4,2,6,11,4,16,20,28,20,28,138,38,2,0,322,6,148,61,136,49,0,16,4,250,278,389,111,113,107,143,103
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100119,2,1,2,4,2,6,11,4,16,21,30,21,30,140,38,2,0,321,6,147,61,137,49,0,16,4,251,278,390,112,113,107,144,104
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100120,2,1,2,4,2,6,10,4,16,22,31,22,31,142,38,2,0,321,6,146,61,139,49,0,16,4,251,278,390,112,113,108,144,104
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100121,2,1,2,4,2,5,10,4,16,23,33,23,33,144,38,2,0,320,6,145,60,140,49,0,16,4,252,278,391,113,114,108,144,104
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100122,2,1,2,4,2,5,10,4,16,24,34,24,34,146,38,2,0,318,6,143,60,141,49,0,16,4,252,278,391,113,114,108,145,105
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100123,2,1,2,4,2,5,10,4,15,25,36,25,36,147,38,2,0,317,6,141,59,142,49,0,16,3,253,278,392,114,114,109,145,105
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100124,2,1,2,4,2,5,10,4,15,26,37,26,37,149,38,2,0,315,6,140,58,144,49,0,16,3,254,278,393,115,115,109,145,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100125,2,1,2,4,2,5,10,4,15,27,39,27,39,151,38,1,0,312,5,138,57,145,49,0,16,3,254,278,393,115,115,110,146,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100126,2,1,2,4,2,5,10,4,15,28,40,28,40,153,38,1,0,310,5,137,57,146,49,0,16,3,255,278,394,116,115,110,146,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100127,2,1,2,4,2,5,10,4,15,29,42,29,42,154,39,1,0,307,5,135,56,147,49,0,16,3,256,278,395,117,115,111,146,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100128,2,1,2,4,2,5,9,4,14,31,43,31,43,156,39,1,0,305,5,133,55,147,50,0,16,3,257,278,396,118,115,111,146,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100129,2,1,2,4,2,5,9,4,14,32,45,32,45,158,39,1,0,302,5,132,55,148,50,0,16,3,258,277,396,119,115,112,147,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100130,2,1,2,4,2,5,9,4,14,33,46,33,46,159,40,1,0,299,5,130,55,149,51,0,16,3,259,277,397,120,115,112,147,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100131,2,1,2,4,2,5,9,4,14,34,48,34,48,161,41,1,0,297,5,129,54,149,51,0,16,3,260,277,399,121,115,112,147,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100201,2,1,2,4,2,5,9,4,14,1,2,35,50,163,41,1,0,294,5,127,54,150,52,0,16,3,261,277,400,122,115,112,147,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100202,2,1,2,4,2,5,9,4,14,2,4,36,52,164,42,1,0,291,5,125,54,150,53,0,17,4,262,277,401,124,116,113,147,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100203,2,1,2,4,2,5,9,4,14,4,5,38,53,166,43,1,0,288,5,124,54,151,54,0,17,4,264,277,403,125,116,113,147,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100204,2,1,2,4,2,6,10,4,14,5,7,39,55,168,44,1,0,286,5,123,55,151,54,0,17,4,265,277,404,127,116,113,147,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100205,2,1,2,4,2,6,10,4,14,6,9,40,57,170,45,2,0,283,5,122,55,152,55,0,17,4,267,277,406,128,116,113,147,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100206,2,1,2,4,2,6,10,4,14,7,11,41,59,171,46,2,0,280,5,121,55,151,55,0,17,4,269,278,407,130,116,113,148,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100207,2,1,2,5,2,6,10,4,14,9,12,43,60,172,47,2,0,277,5,119,56,152,55,0,17,4,270,278,409,132,116,113,148,108
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100208,2,1,2,5,2,6,10,4,14,10,14,44,62,174,48,3,0,274,5,118,56,152,56,0,17,4,272,278,411,133,116,113,148,108
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100209,2,1,2,5,2,6,10,4,14,11,16,45,64,176,49,3,0,271,5,117,56,151,56,0,17,4,274,278,413,135,116,113,148,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100210,2,1,2,5,2,6,11,4,14,13,18,47,66,177,51,4,0,268,5,116,56,151,57,0,18,4,276,278,416,137,116,113,148,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100211,2,1,2,5,2,6,11,4,14,14,20,48,68,178,52,4,0,264,6,115,56,151,57,0,18,5,279,278,418,139,116,113,149,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100212,2,1,2,5,2,6,11,4,15,16,22,50,70,180,53,5,0,260,6,114,56,151,58,0,18,5,281,279,420,142,116,113,149,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100213,2,1,2,5,2,6,11,4,15,18,24,52,72,180,55,5,0,256,6,113,56,150,58,0,18,5,283,279,423,144,116,113,149,107
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100214,2,1,2,5,2,6,12,4,15,19,26,53,74,181,56,6,0,252,6,112,56,150,58,0,18,5,286,279,426,146,116,114,149,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100215,2,1,2,5,2,6,12,4,15,21,28,55,76,182,57,6,0,247,6,111,56,149,59,0,18,5,289,280,428,149,116,113,149,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100216,2,1,2,5,2,6,12,4,15,23,30,57,78,182,58,7,0,242,6,109,56,148,59,0,18,5,291,280,431,151,116,113,149,106
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100217,2,1,2,5,2,6,12,5,15,24,32,58,80,183,59,7,0,237,6,108,55,147,59,0,17,5,294,280,434,154,116,113,149,105
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100218,2,1,2,5,2,6,13,5,15,26,34,60,82,183,60,8,0,232,6,106,54,146,59,0,17,5,297,281,437,157,116,113,149,105
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20100219,2,1,2,6,2,7,13,5,15,28,36,62,84,184,61,8,0,227,6,105,54,145,59,0,17,5,300,281,440,159,115,114,149,104
