STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100101,4,2,3,15,5,12,41,9,32,11,6,11,6,372,221,77,30,570,145,419,324,238,134,8,66,35,238,175,325,151,97,66,98,107
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100102,4,2,3,15,5,13,41,9,32,22,12,22,12,372,221,77,29,581,151,429,333,240,136,8,66,36,236,175,323,148,98,66,98,108
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100103,4,2,3,15,5,13,41,10,32,34,18,34,18,371,220,77,29,592,158,439,343,241,137,8,67,37,234,175,321,146,99,66,99,109
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100104,4,3,3,15,6,13,41,10,32,45,24,45,24,371,220,77,29,602,164,449,352,242,138,8,67,37,232,175,319,144,99,66,99,110
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100105,4,3,3,15,6,13,41,10,32,56,31,56,31,370,220,77,28,612,170,459,362,244,139,8,68,38,230,176,318,142,100,67,100,110
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100106,4,3,3,15,6,13,41,10,32,68,37,68,37,370,219,77,28,622,177,469,371,246,141,8,68,38,228,176,316,140,100,67,100,111
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100107,4,3,4,15,6,13,41,10,32,79,43,79,43,369,219,77,28,631,183,479,380,247,142,8,68,39,227,176,314,139,101,67,101,112
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100108,4,3,4,15,6,13,41,10,32,89,49,89,49,369,219,77,27,640,189,488,388,249,143,8,69,40,225,176,313,137,102,67,101,113
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100109,4,3,4,14,6,13,41,10,32,100,56,100,56,369,218,78,27,649,195,497,396,250,145,8,69,40,224,176,312,136,102,68,101,114
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100110,4,3,4,14,6,13,41,10,31,111,62,111,62,368,218,78,27,657,200,506,404,251,146,8,69,40,222,176,311,134,103,68,102,115
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100111,4,3,4,14,6,13,42,10,31,122,69,122,69,367,217,78,27,666,206,515,411,252,147,8,69,41,221,177,310,133,103,68,102,115
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100112,4,3,4,14,6,13,42,11,31,133,75,133,75,367,217,78,26,673,211,524,418,253,147,8,69,41,220,177,309,132,104,68,102,116
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100113,4,3,4,14,6,13,42,11,31,144,82,144,82,366,217,78,26,681,216,532,424,253,148,8,69,41,220,177,308,131,104,69,102,116
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100114,4,3,4,14,6,13,42,11,31,155,88,155,88,365,216,78,26,688,221,539,430,254,149,8,69,41,219,177,307,130,104,69,102,116
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100115,4,3,4,14,6,13,42,11,31,166,95,166,95,364,216,78,26,695,225,547,435,254,149,8,69,41,218,177,307,130,104,69,102,117
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100116,4,3,4,14,6,13,42,11,31,177,101,177,101,363,215,78,25,701,230,553,440,254,150,7,69,41,218,178,307,129,104,69,102,117
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100117,4,3,4,14,6,13,42,11,31,187,108,187,108,361,214,78,25,707,234,559,444,254,150,7,68,42,218,178,307,129,104,69,102,117
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100118,4,3,4,14,6,13,42,11,31,198,114,198,114,360,214,78,25,713,238,565,448,253,150,7,68,42,217,178,306,128,104,70,101,118
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100119,4,3,4,14,6,13,42,11,31,209,120,209,120,358,213,77,25,718,241,570,452,253,150,7,68,42,217,178,307,128,104,70,101,118
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100120,4,3,4,14,6,13,42,11,31,220,126,220,126,356,212,77,25,722,245,574,456,252,150,7,68,42,217,179,307,128,104,70,101,118
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100121,4,3,4,15,6,13,42,11,31,231,133,231,133,354,212,76,25,726,248,578,459,251,150,7,68,42,218,179,307,128,104,70,101,118
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100122,4,3,4,15,6,14,43,11,31,242,139,242,139,352,211,76,26,729,250,582,462,250,150,7,67,42,218,179,308,128,103,70,100,117
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100123,4,3,4,15,6,14,43,11,31,253,145,253,145,351,211,76,26,732,253,585,465,249,150,7,67,42,218,180,308,129,103,71,100,117
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100124,4,3,4,15,6,14,43,11,31,265,152,265,152,349,211,75,26,734,255,588,467,247,149,7,66,41,219,180,309,129,102,71,99,117
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100125,4,3,4,15,7,14,43,11,31,275,158,275,158,348,210,75,26,736,257,590,468,246,149,7,66,41,220,180,310,130,102,71,99,116
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100126,4,3,4,15,7,14,43,11,31,286,164,286,164,346,210,75,26,738,259,592,469,245,149,6,66,41,221,180,311,130,101,71,98,116
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100127,4,3,4,15,7,14,43,12,31,296,169,296,169,345,209,74,26,739,260,594,470,244,148,6,65,40,221,181,312,131,101,71,97,115
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100128,4,3,5,15,7,14,43,12,31,307,175,307,175,345,209,74,27,739,262,596,471,243,148,6,65,40,222,181,313,132,100,71,97,115
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100129,4,3,5,15,7,14,43,12,31,317,181,317,181,344,210,73,27,740,263,597,472,242,147,6,64,40,224,181,314,133,100,71,96,114
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100130,4,3,5,16,7,14,43,12,31,328,186,328,186,344,210,73,27,740,264,598,473,241,146,6,64,39,225,182,316,134,99,71,96,114
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100131,4,3,5,16,7,14,43,12,31,338,192,338,192,344,210,73,27,740,264,599,473,240,145,6,64,39,226,182,317,135,98,71,95,113
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100201,4,3,5,16,7,14,43,12,31,11,5,349,197,343,210,73,27,739,265,600,473,239,144,6,63,38,228,182,319,136,98,71,94,113
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100202,4,3,5,16,7,14,43,12,31,22,10,360,202,343,209,73,27,737,265,600,473,237,143,6,62,38,229,183,320,138,97,71,94,112
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100203,4,3,5,16,7,14,43,12,31,32,14,370,206,343,209,73,27,736,265,600,472,236,141,6,62,38,231,183,322,139,96,71,93,111
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100204,4,3,5,16,7,14,43,12,32,43,19,381,211,342,208,73,27,734,265,600,472,234,140,6,62,37,232,183,324,141,96,70,92,110
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100205,4,3,5,16,7,14,43,12,32,54,24,392,216,341,207,72,27,732,265,599,471,232,138,6,61,37,234,183,326,142,95,70,92,110
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100206,4,3,5,16,7,14,43,12,32,65,28,403,220,341,207,72,27,731,265,598,470,230,137,6,61,37,236,183,328,144,94,70,91,109
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100207,4,3,4,16,7,14,43,12,32,76,32,414,224,340,206,72,28,728,264,596,468,228,135,6,60,36,238,183,329,146,94,70,91,109
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100208,4,3,4,16,7,14,43,12,32,87,37,425,229,340,206,71,28,726,263,594,467,226,133,6,60,36,240,184,331,148,93,70,90,108
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100209,4,3,4,16,7,14,43,12,32,97,41,435,233,340,206,72,28,723,263,592,465,224,132,6,60,36,242,184,334,150,93,70,90,108
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100210,4,3,4,16,7,14,43,12,33,108,46,446,238,341,206,72,28,719,262,589,463,222,130,5,60,35,244,184,336,152,92,70,90,107
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100211,4,3,4,16,7,14,44,12,33,120,50,458,242,341,207,72,29,715,261,586,461,220,129,5,59,35,246,184,338,154,92,70,89,107
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100212,5,3,4,16,7,14,44,12,33,132,54,470,246,342,208,73,29,711,260,583,459,218,127,5,60,35,248,184,340,156,92,70,89,106
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100213,5,3,4,16,7,14,44,12,33,143,59,481,251,343,209,73,29,706,258,579,457,216,126,5,59,35,250,183,342,159,91,69,89,106
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100214,5,3,4,16,7,14,44,12,34,155,63,493,255,344,210,74,30,701,257,575,454,215,125,5,59,34,253,183,344,161,91,69,88,106
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20100215,5,3,5,16,7,14,44,12,34,167,67,505,259,346,211,74,30,695,256,572,452,213,124,5,59,34,255,183,346,163,91,69,88,105
