STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100101,5,-666,-666,18,-666,-666,44,-666,-666,10,1,10,1,320,199,71,25,37,1,20,8,24,13,0,7,4,407,197,506,309,100,78,111,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100102,5,-666,-666,18,-666,-666,44,-666,-666,20,1,20,1,320,200,71,25,39,1,21,9,24,14,0,7,4,407,197,505,308,100,78,112,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100103,5,-666,-666,18,-666,-666,44,-666,-666,31,2,31,2,320,201,71,26,41,1,22,10,25,15,0,7,4,406,197,504,308,100,78,112,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100104,5,-666,-666,18,-666,-666,44,-666,-666,42,3,42,3,320,201,71,26,43,1,23,10,25,15,0,7,4,406,197,504,307,101,78,112,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100105,5,-666,-666,18,-666,-666,44,-666,-666,53,3,53,3,320,201,71,27,45,1,24,11,26,16,0,7,4,405,197,504,307,101,79,112,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100106,5,-666,-666,18,-666,-666,44,-666,-666,64,4,64,4,320,201,71,27,47,1,25,11,27,17,0,8,4,405,197,503,307,101,79,113,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100107,5,-666,-666,18,-666,-666,44,-666,-666,76,5,76,5,319,201,71,28,49,2,26,11,28,17,0,8,4,405,197,503,306,101,79,113,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100108,5,-666,-666,18,-666,-666,44,-666,-666,87,6,87,6,318,201,71,28,52,2,27,12,28,18,0,8,4,405,197,503,306,101,79,113,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100109,5,-666,-666,18,-666,-666,45,-666,-666,98,6,98,6,318,201,71,28,54,2,27,12,29,18,1,8,4,405,197,503,306,101,79,113,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100110,5,-666,-666,18,-666,-666,45,-666,-666,110,7,110,7,317,201,71,29,56,2,28,12,30,19,1,8,4,405,197,503,306,101,80,113,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100111,5,-666,-666,18,-666,-666,45,-666,-666,122,8,122,8,316,201,71,29,57,2,28,12,30,20,1,8,4,405,197,504,306,101,80,114,103
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100112,5,-666,-666,18,-666,-666,45,-666,-666,134,9,134,9,315,201,71,29,59,2,28,12,31,20,1,8,4,405,197,504,307,101,80,114,102
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100113,5,-666,-666,18,-666,-666,45,-666,-666,146,10,146,10,315,201,71,30,60,2,28,13,31,21,1,8,4,406,198,504,307,100,80,114,102
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100114,5,-666,-666,18,-666,-666,45,-666,-666,158,11,158,11,314,201,72,30,62,3,28,13,32,21,1,8,4,406,198,505,307,100,81,114,102
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100115,5,-666,-666,18,-666,-666,46,-666,-666,169,13,169,13,314,201,72,30,63,3,28,13,32,22,1,8,4,406,198,505,307,100,81,114,101
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100116,5,-666,-666,18,-666,-666,46,-666,-666,181,14,181,14,314,202,73,31,63,3,28,13,33,22,1,8,4,407,198,506,308,100,81,114,101
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100117,5,-666,-666,18,-666,-666,46,-666,-666,193,15,193,15,314,202,73,31,64,3,28,13,34,22,1,8,4,408,198,507,308,100,82,114,100
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100118,5,-666,-666,18,-666,-666,46,-666,-666,204,16,204,16,315,203,74,31,64,3,28,13,34,23,1,8,4,408,199,508,309,99,82,114,100
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20100119,5,-666,-666,18,-666,-666,46,-666,-666,215,17,215,17,315,204,74,31,65,3,27,13,35,23,1,8,4,409,199,508,309,99,82,115,100
