STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100101,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,225,627,402,87,99,104,96
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100102,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,225,627,403,87,99,104,96
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100103,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,224,627,403,87,99,104,96
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100104,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,224,627,403,87,99,105,96
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100105,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,223,627,404,87,100,105,95
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100106,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,223,628,404,87,100,106,95
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100107,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,223,628,405,87,100,106,95
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100108,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,222,628,406,87,101,107,94
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100109,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,222,628,406,87,101,107,94
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20100110,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,222,629,407,87,101,107,94
