STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100101,6,-666,-666,17,-666,-666,39,-666,-666,18,1,18,1,581,382,111,29,36,0,6,-9999,49,19,0,4,0,408,96,456,360,61,38,61,66
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100102,6,-666,-666,17,-666,-666,39,-666,-666,36,1,36,1,582,382,111,29,35,0,6,-9999,49,20,0,4,0,409,96,457,361,61,38,61,66
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100103,6,-666,-666,17,-666,-666,39,-666,-666,55,2,55,2,582,383,111,29,34,0,6,-9999,49,19,0,4,0,410,96,458,362,60,39,61,66
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100104,6,-666,-666,17,-666,-666,39,-666,-666,74,2,74,2,583,383,111,29,33,0,5,-9999,48,19,0,4,0,411,96,459,363,60,39,60,66
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100105,6,-666,-666,17,-666,-666,39,-666,-666,92,2,92,2,583,383,111,29,32,0,5,-9999,47,19,0,4,0,412,96,460,364,60,39,60,65
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100106,6,-666,-666,17,-666,-666,39,-666,-666,111,3,111,3,582,382,111,29,31,0,5,-9999,47,19,0,4,0,413,96,461,365,59,39,60,65
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100107,6,-666,-666,17,-666,-666,39,-666,-666,130,3,130,3,582,382,110,29,30,0,4,-9999,46,19,0,4,0,414,96,462,366,59,39,59,65
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100108,6,-666,-666,17,-666,-666,39,-666,-666,150,4,150,4,581,381,110,28,29,0,4,-9999,45,18,0,4,0,415,97,463,366,59,40,59,65
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100109,6,-666,-666,17,-666,-666,39,-666,-666,169,4,169,4,580,380,109,28,28,0,4,-9999,44,18,0,4,0,416,97,464,367,58,40,59,64
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100110,6,-666,-666,17,-666,-666,38,-666,-666,189,5,189,5,578,379,108,27,26,0,4,-9999,43,17,0,4,0,417,97,465,368,58,40,59,64
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20100111,6,-666,-666,17,-666,-666,38,-666,-666,208,5,208,5,576,378,108,26,26,0,4,-9999,43,17,0,5,-9999,418,98,467,369,58,40,58,64
