STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,*,*,*,*
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100101,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,153,363,210,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100102,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,153,362,209,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100103,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,153,361,208,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100104,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,153,360,207,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100105,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,153,360,206,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100106,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,154,359,205,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100107,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,154,359,205,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100108,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,154,358,204,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100109,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,155,358,203,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100110,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,155,358,203,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100111,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,156,358,202,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100112,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,157,358,201,0,0,0,0
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20100113,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,157,358,201,0,0,0,0
