STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100101,3,1,2,9,2,5,32,4,16,8,3,8,3,354,177,59,12,350,31,159,84,205,75,3,30,12,274,145,346,202,94,62,95,103
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100102,3,1,2,9,2,5,32,4,16,16,6,16,6,354,177,58,12,358,34,166,88,208,77,3,30,12,273,145,345,200,95,62,96,103
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100103,3,1,2,9,2,5,32,4,16,24,8,24,8,355,176,58,12,365,36,173,93,210,78,3,31,12,272,146,344,199,95,62,96,104
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100104,3,1,2,9,2,5,31,4,16,32,11,32,11,355,176,58,12,372,39,180,97,213,80,3,31,12,270,146,343,197,96,63,97,105
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100105,3,1,2,9,2,5,31,4,16,41,14,41,14,356,176,58,12,379,41,187,102,215,81,3,31,12,269,147,343,196,97,63,98,105
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100106,3,1,2,9,3,5,31,5,16,50,17,50,17,356,176,57,12,386,44,194,106,218,83,3,32,11,268,147,342,195,97,63,99,106
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100107,3,1,2,9,3,5,31,5,16,58,20,58,20,356,176,57,12,393,46,201,111,220,84,3,32,11,268,147,341,194,98,64,99,107
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100108,3,1,2,9,3,6,31,5,16,66,23,66,23,356,176,56,12,400,48,208,115,222,86,3,32,11,267,148,341,193,99,64,100,107
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100109,3,1,2,9,3,6,30,5,16,75,27,75,27,356,176,56,11,406,51,215,119,224,87,3,32,11,266,148,340,192,99,64,100,108
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100110,3,1,2,9,3,6,31,5,17,83,30,83,30,356,176,56,11,413,53,222,123,225,88,3,33,11,266,148,340,192,100,64,101,108
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100111,3,1,2,9,3,6,31,5,17,92,34,92,34,355,176,55,11,420,54,228,127,227,90,3,33,11,265,148,339,191,100,65,101,109
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100112,3,1,2,10,3,6,31,5,17,101,37,101,37,355,176,55,11,426,56,234,131,228,91,3,33,11,265,148,339,191,100,65,101,109
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100113,3,1,2,10,3,6,31,5,17,110,41,110,41,354,176,55,11,431,58,240,135,229,92,3,33,11,265,149,339,190,100,65,101,109
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100114,3,1,2,10,3,6,31,5,17,119,45,119,45,353,176,55,11,436,59,246,139,230,93,2,34,11,264,149,339,190,100,65,101,109
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100115,3,1,2,10,3,6,31,5,18,128,48,128,48,353,176,55,11,441,61,251,143,231,95,2,34,11,264,149,339,190,100,66,102,110
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100116,3,1,2,10,3,6,31,5,18,137,52,137,52,352,176,55,11,445,62,256,147,232,96,2,34,11,264,149,339,190,100,66,102,110
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100117,3,2,2,10,3,6,31,5,18,146,56,146,56,351,177,55,11,449,64,262,151,232,97,2,35,11,264,149,339,190,100,67,101,110
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100118,3,2,2,10,3,6,32,5,18,155,59,155,59,350,177,55,11,453,65,266,155,233,98,2,35,12,264,149,339,190,100,67,101,110
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100119,3,2,2,10,3,6,32,6,18,164,63,164,63,349,177,55,11,456,66,271,158,233,98,2,35,12,265,150,339,190,100,67,101,109
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100120,3,2,2,10,3,6,32,6,19,173,66,173,66,347,177,55,11,460,67,276,162,233,99,2,36,12,265,150,340,190,99,68,101,109
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100121,3,2,2,11,4,6,32,6,19,182,69,182,69,346,177,55,11,463,69,280,165,233,100,2,36,12,265,150,340,190,99,68,101,109
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100122,3,2,2,11,4,7,32,6,19,191,73,191,73,345,177,55,11,466,70,284,169,232,100,2,36,12,266,150,341,191,99,68,100,108
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100123,3,2,2,11,4,7,32,6,19,200,76,200,76,344,177,55,11,468,71,287,172,231,100,2,36,12,266,150,341,191,98,69,100,108
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100124,3,2,2,11,4,7,32,6,19,209,80,209,80,344,178,55,11,470,72,290,175,230,100,2,36,12,267,150,342,192,98,69,99,107
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100125,3,2,2,11,4,7,33,6,20,217,83,217,83,343,178,55,11,470,73,292,177,229,100,2,37,12,268,151,343,192,97,69,99,107
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100126,3,2,2,11,4,7,33,6,20,226,87,226,87,342,177,55,11,471,73,294,179,228,100,2,37,12,268,151,344,193,96,69,98,106
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100127,3,2,2,11,4,7,33,6,20,234,90,234,90,341,177,55,11,472,73,296,180,227,100,2,36,12,269,151,345,193,95,70,97,105
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100128,3,2,2,11,4,7,33,6,20,243,94,243,94,340,177,55,11,472,73,297,182,226,100,2,36,12,270,152,346,194,94,70,97,105
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100129,3,2,2,11,4,7,33,6,20,252,98,252,98,339,178,55,11,472,72,298,183,224,100,2,36,12,271,152,347,195,94,70,96,104
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100130,3,2,2,11,4,7,33,6,20,261,101,261,101,339,178,54,11,472,72,299,184,222,100,2,36,12,272,153,348,196,93,70,95,103
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100131,3,2,2,12,4,7,33,6,20,270,105,270,105,339,178,54,11,472,71,300,184,221,99,1,35,12,273,153,349,196,92,70,94,102
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100201,3,2,2,12,4,7,33,6,20,9,3,279,108,338,179,54,11,471,70,300,184,219,99,1,35,12,274,154,351,197,91,71,94,101
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100202,3,2,2,12,4,8,33,6,20,18,7,288,112,338,179,54,11,471,69,300,184,217,98,1,35,12,275,154,352,198,90,71,93,100
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100203,3,2,2,12,4,8,33,6,21,26,10,296,115,337,179,54,11,470,68,299,184,216,98,1,35,12,276,155,354,199,89,71,92,100
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100204,3,2,2,12,4,8,34,6,21,34,14,304,119,336,180,54,11,469,67,298,183,214,98,1,35,13,278,155,355,200,88,72,92,99
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100205,3,2,2,12,4,8,34,6,21,43,17,313,122,336,180,54,11,467,66,297,183,213,98,2,35,13,279,156,357,201,88,72,91,98
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100206,3,2,3,12,4,8,33,6,21,51,20,321,125,336,180,54,11,465,66,295,182,211,97,2,35,13,280,157,359,202,87,72,91,98
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100207,3,2,3,12,4,8,33,6,21,59,23,329,128,336,181,54,11,463,65,294,181,210,97,2,35,13,282,158,361,203,86,73,90,97
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100208,3,2,3,12,4,8,33,6,21,68,26,338,131,336,181,54,11,460,64,292,180,208,97,2,35,13,283,159,363,204,86,73,90,97
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100209,3,2,3,12,4,8,33,6,21,76,29,346,134,337,182,54,11,457,64,291,179,207,97,2,35,13,285,160,365,205,85,74,90,96
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100210,3,2,3,12,4,8,33,6,21,84,32,354,137,339,183,53,11,453,63,288,177,206,97,2,35,13,287,161,367,206,85,74,90,95
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100211,3,2,3,12,4,8,33,6,21,92,35,362,140,340,184,53,11,450,63,286,176,205,96,2,35,13,288,162,369,208,85,74,90,95
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100212,3,2,3,12,4,9,33,6,21,100,38,370,143,341,185,53,11,446,62,283,174,203,96,2,35,12,290,163,372,209,84,75,90,95
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100213,3,2,3,12,4,9,33,6,21,108,41,378,146,342,185,53,11,442,62,280,172,201,95,2,35,12,292,164,374,210,84,75,90,94
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100214,3,2,3,12,4,9,32,6,21,117,44,387,149,344,186,53,11,438,62,277,169,200,94,2,35,12,294,165,376,212,84,75,90,94
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100215,3,2,3,12,4,9,32,6,22,125,47,395,152,345,186,53,11,433,61,273,167,197,94,2,34,12,296,166,379,213,84,75,90,94
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100216,3,2,3,12,4,9,32,6,22,133,50,403,155,346,187,53,11,428,61,269,164,195,93,2,34,12,298,167,382,214,84,76,91,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100217,3,2,4,12,4,9,32,6,22,141,54,411,159,347,187,53,11,423,61,265,161,194,92,2,34,12,300,168,384,216,84,76,91,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100218,3,2,4,12,4,9,32,6,22,149,57,419,162,349,188,53,11,416,61,260,158,192,92,2,34,12,302,169,387,218,84,76,92,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100219,3,2,4,11,4,9,32,6,22,158,60,428,165,350,189,53,11,410,61,255,155,191,91,2,33,12,304,171,390,219,85,77,92,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100220,3,2,4,11,4,9,31,6,22,166,63,436,168,351,189,53,11,403,60,251,152,189,90,2,33,12,307,172,393,221,85,77,93,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100221,3,1,4,11,4,9,31,6,22,174,66,444,171,353,190,53,11,397,59,246,149,188,90,2,33,12,309,173,396,223,85,77,93,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100222,3,1,4,11,4,9,31,6,22,183,70,453,175,354,191,53,11,390,59,241,145,187,89,2,33,12,312,174,399,225,85,78,94,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100223,3,1,4,11,4,9,31,6,22,191,73,461,178,356,192,53,11,384,58,236,142,186,88,3,32,12,314,175,402,226,86,78,95,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100224,4,1,4,11,3,9,31,6,22,200,76,470,181,357,193,53,11,377,58,231,138,184,88,3,32,11,317,176,405,228,86,78,96,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100225,4,1,4,11,3,9,31,6,23,209,79,479,184,358,194,53,11,371,57,226,135,183,87,3,32,11,319,177,408,231,87,79,97,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100226,4,1,4,11,3,9,31,6,23,217,82,487,187,358,194,53,11,364,56,220,132,181,86,3,32,11,322,179,411,233,87,79,98,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100227,4,1,4,11,3,9,31,6,23,225,85,495,190,359,195,54,11,356,55,215,128,179,85,3,31,11,325,180,415,235,87,80,98,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100228,4,1,4,11,3,9,31,6,23,234,88,504,193,360,195,54,11,349,54,209,124,176,83,3,31,11,328,181,418,237,88,80,99,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100301,4,1,5,11,3,9,31,6,23,8,3,512,196,361,197,55,12,332,53,197,117,171,81,3,31,11,330,182,421,240,88,80,100,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100302,4,1,5,12,3,9,31,6,23,17,6,521,199,362,197,55,12,324,52,191,114,168,79,3,30,11,333,183,425,242,89,81,101,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100303,4,1,5,12,3,9,32,6,23,25,9,529,202,364,198,55,12,315,51,185,110,165,78,3,30,10,336,184,428,244,89,81,102,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100304,4,1,5,12,3,9,32,6,24,33,12,537,205,365,199,56,13,306,51,179,107,162,76,3,29,10,339,185,432,247,89,81,102,93
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100305,4,1,5,12,3,9,32,6,24,42,15,546,208,366,200,56,13,297,50,173,104,158,75,3,29,10,343,186,435,250,89,82,103,92
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100306,4,1,5,12,3,9,32,6,24,50,18,554,211,368,201,57,13,289,49,168,100,155,73,3,28,10,346,186,439,253,89,82,103,92
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100307,4,1,5,12,3,9,32,6,24,59,21,563,214,369,202,58,13,280,48,162,97,151,71,3,28,10,349,187,443,255,89,82,103,92
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20100308,4,1,5,12,3,9,33,6,24,68,24,572,217,369,202,58,14,271,47,156,94,147,69,3,27,10,352,188,446,258,89,82,104,91
