STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141101,0,0,0,133,-16
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141102,0,0,0,200,6
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141103,8,0,0,128,-32
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141104,0,0,0,150,-60
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141105,0,0,0,194,-16
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141106,0,0,0,167,-55
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141107,0,0,0,228,-21
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141108,0,0,0,167,-43
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141109,0,0,0,211,-32
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141110,0,0,0,111,-105
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141111,0,0,0,-60,-155
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141112,0,0,0,-66,-155
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141113,0,0,0,-49,-171
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141114,0,0,0,-5,-149
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141115,8,0,10,-43,-155
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141116,0,0,0,28,-182
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141117,0,0,0,-49,-188
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141118,0,0,0,100,-199
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141119,0,0,0,44,-110
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141120,0,0,0,67,-138
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141121,0,0,0,128,-88
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141122,0,0,0,206,-93
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141123,0,0,0,100,-27
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141124,0,0,0,72,-77
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141125,0,0,0,72,-121
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141126,5,0,0,33,-60
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141127,0,0,0,100,-82
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141128,0,0,0,228,-71
GHCND:USW00024023,NORTH PLATTE REGIONAL AIRPORT NE US,20141129,0,0,0,200,-60
