STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100101,3,-666,12,-666,31,-666,3,0,3,0,132,74,17,3,0,0,0,0,-9999,0,0,0,0,550,212,656,444,51,62,64,54
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100102,3,-666,12,-666,31,-666,6,0,6,0,133,74,17,3,0,0,0,0,-9999,0,0,0,0,551,212,657,445,51,62,64,54
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100103,3,-666,12,-666,31,-666,9,0,9,0,133,75,17,3,0,0,0,0,-9999,0,0,0,0,552,212,658,445,51,62,65,55
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100104,3,-666,12,-666,31,-666,12,0,12,0,134,75,17,3,0,0,0,0,-9999,0,0,0,0,553,213,659,446,51,62,65,55
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100105,3,-666,12,-666,31,-666,15,0,15,0,134,75,17,3,0,0,0,0,-9999,0,0,0,0,553,213,660,447,51,62,65,55
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100106,3,-666,12,-666,31,-666,18,0,18,0,134,75,17,3,0,0,0,0,-9999,0,0,0,0,554,213,661,448,52,63,65,55
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100107,3,-666,12,-666,31,-666,21,0,21,0,133,76,17,3,0,0,0,0,-9999,0,0,0,0,555,214,662,449,52,63,65,55
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100108,3,-666,12,-666,31,-666,24,0,24,0,133,76,17,3,0,0,0,0,-9999,0,0,0,0,556,214,663,449,52,63,66,55
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100109,3,-666,12,-666,31,-666,27,0,27,0,132,76,17,3,0,0,0,0,-9999,0,0,0,0,557,214,664,450,52,63,66,55
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20100110,3,-666,13,-666,31,-666,30,0,30,0,132,76,17,3,0,0,0,0,-9999,0,0,0,0,558,214,666,451,52,63,66,55
