STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141101,84,0,0,67,39
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141102,76,0,10,50,17
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141103,0,0,0,117,0
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141104,0,0,0,117,-16
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141105,0,0,0,189,50
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141106,69,0,0,106,44
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141107,20,0,0,89,33
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141108,0,0,0,83,-16
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141109,0,0,0,128,0
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141110,0,0,0,139,-10
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141111,0,0,0,139,6
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141112,0,0,0,139,39
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141113,10,0,0,94,-10
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141114,53,30,33,61,-32
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141115,0,0,0,39,-55
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141116,0,0,0,56,-60
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141117,157,0,3,44,11
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141118,0,0,0,50,-38
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141119,0,0,0,33,-43
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141120,0,0,0,67,-21
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141121,0,0,0,17,-49
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141122,0,0,0,50,-60
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141123,0,0,0,150,39
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141124,203,0,0,172,33
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141125,0,0,0,178,72
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141126,315,0,188,72,6
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141127,18,180,25,33,-16
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141128,0,150,3,0,-60
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141129,0,130,0,-10,-116
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141130,0,130,0,78,-38
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141201,0,80,0,150,11
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141202,5,30,3,17,-32
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141203,89,30,25,50,-38
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141204,0,30,0,44,-49
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141205,3,30,5,-5,-88
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141206,188,50,20,33,-27
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141207,0,30,0,33,-99
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141208,0,30,0,-55,-116
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141209,495,30,3,39,-60
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141210,157,30,0,39,28
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141211,28,0,5,56,6
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141212,0,0,0,50,0
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141213,15,30,30,33,0
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141214,0,0,0,78,-16
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20141215,0,0,0,56,-38
