STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00427064,PROVO BYU UT US,20100101,4,2,10,13,4,19,26,7,30,7,5,7,5,331,195,32,3,549,44,385,240,209,168,1,68,22,305,164,387,223,84,63,90,89
GHCND:USC00427064,PROVO BYU UT US,20100102,4,2,10,13,4,19,26,7,30,14,10,14,10,331,194,32,3,553,46,392,245,208,168,1,69,22,305,165,387,223,84,64,90,90
GHCND:USC00427064,PROVO BYU UT US,20100103,4,2,10,13,4,19,25,7,30,20,15,20,15,331,194,32,3,558,49,398,249,208,168,1,68,22,305,165,387,223,85,64,91,90
GHCND:USC00427064,PROVO BYU UT US,20100104,4,2,10,13,4,19,25,7,30,27,20,27,20,331,194,32,3,561,51,405,254,207,168,1,69,22,305,165,388,222,85,64,91,91
GHCND:USC00427064,PROVO BYU UT US,20100105,4,2,10,12,4,19,25,7,30,34,25,34,25,332,193,32,3,565,53,410,258,207,167,1,68,22,305,166,388,222,86,64,92,91
GHCND:USC00427064,PROVO BYU UT US,20100106,4,2,10,12,4,19,25,7,30,40,30,40,30,331,192,32,3,568,56,416,262,206,166,1,68,22,305,166,389,222,86,65,92,92
GHCND:USC00427064,PROVO BYU UT US,20100107,4,3,10,12,4,19,25,7,30,46,34,46,34,331,190,32,3,570,58,420,265,204,165,1,67,22,306,167,389,222,87,65,92,93
GHCND:USC00427064,PROVO BYU UT US,20100108,4,3,10,12,4,19,25,7,30,53,39,53,39,331,189,32,3,571,60,425,269,203,164,1,67,22,306,167,390,222,87,65,93,93
GHCND:USC00427064,PROVO BYU UT US,20100109,4,3,10,12,4,19,25,7,30,59,44,59,44,331,187,32,2,572,62,428,272,202,163,1,66,22,306,168,390,222,87,65,93,93
GHCND:USC00427064,PROVO BYU UT US,20100110,4,3,10,12,4,18,25,7,30,66,49,66,49,331,186,32,2,573,64,432,274,200,161,1,65,22,306,169,391,222,87,65,93,94
GHCND:USC00427064,PROVO BYU UT US,20100111,4,3,10,12,4,18,25,8,30,72,53,72,53,330,185,32,2,573,65,434,276,198,160,1,64,22,306,169,391,222,87,66,93,94
GHCND:USC00427064,PROVO BYU UT US,20100112,4,3,10,12,4,18,25,8,30,78,58,78,58,330,183,32,2,573,66,437,278,197,158,1,63,21,307,170,392,222,87,66,93,94
GHCND:USC00427064,PROVO BYU UT US,20100113,4,3,10,11,4,18,25,8,30,85,63,85,63,329,182,32,2,573,68,439,280,196,157,1,62,21,307,170,392,222,87,66,93,94
GHCND:USC00427064,PROVO BYU UT US,20100114,4,3,10,11,4,18,24,8,30,91,67,91,67,329,181,32,2,572,69,440,281,195,156,1,61,21,307,171,393,222,87,66,93,94
GHCND:USC00427064,PROVO BYU UT US,20100115,4,3,10,11,4,17,24,8,30,97,72,97,72,328,180,32,2,571,70,441,282,194,155,1,60,21,308,172,394,222,88,67,93,94
GHCND:USC00427064,PROVO BYU UT US,20100116,4,3,10,11,4,17,24,8,29,103,76,103,76,328,178,32,2,570,70,442,282,192,154,1,59,21,308,172,394,222,88,67,93,95
GHCND:USC00427064,PROVO BYU UT US,20100117,4,3,10,11,4,17,24,8,29,109,81,109,81,328,177,32,3,569,71,441,282,191,153,1,58,21,308,173,395,222,88,67,94,95
GHCND:USC00427064,PROVO BYU UT US,20100118,3,3,10,11,4,17,24,8,29,115,86,115,86,328,176,32,3,567,72,441,282,190,152,1,57,21,309,174,396,222,89,67,94,96
GHCND:USC00427064,PROVO BYU UT US,20100119,3,3,10,11,5,17,24,8,29,121,90,121,90,328,175,32,3,564,72,439,282,189,151,1,56,21,309,175,397,222,89,67,94,96
GHCND:USC00427064,PROVO BYU UT US,20100120,3,3,10,11,5,17,24,8,29,127,95,127,95,329,175,32,3,561,72,438,282,188,150,2,55,20,310,175,397,222,90,67,95,97
GHCND:USC00427064,PROVO BYU UT US,20100121,3,3,10,11,5,17,24,8,29,132,99,132,99,329,175,32,3,557,72,435,281,188,150,2,54,20,310,176,398,222,90,67,95,97
