STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141101,155,0,0,106,72
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141102,0,0,0,117,28
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141103,0,0,0,178,-16
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141104,0,0,0,189,44
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141105,0,0,0,217,83
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141106,53,0,0,200,100
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141107,0,0,0,156,33
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141108,0,0,0,156,-5
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141109,0,0,0,156,44
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141110,0,0,0,189,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141111,0,0,0,222,72
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141112,0,0,0,244,100
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141113,0,0,0,150,67
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141114,0,0,0,67,-16
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141115,0,0,0,78,-38
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141116,10,0,0,94,-27
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141117,109,0,0,194,61
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141118,0,0,0,61,-49
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141119,0,0,0,61,-71
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141120,0,0,0,150,-21
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141121,0,0,0,89,-32
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141122,0,0,0,122,-55
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141123,163,0,0,189,11
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141124,3,0,0,222,156
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141125,25,0,0,183,89
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141126,429,0,0,100,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141127,13,0,0,83,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141128,0,0,0,72,-32
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141129,0,0,0,122,-27
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141130,0,0,0,189,22
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141201,0,0,0,233,67
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141202,0,0,0,128,78
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141203,0,0,0,139,67
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141204,0,0,0,122,44
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141205,0,0,0,111,44
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141206,41,0,0,133,78
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141207,0,0,0,117,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141208,33,0,0,72,11
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141209,127,0,0,72,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141210,0,0,0,100,-5
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141211,0,0,0,89,-32
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141212,0,0,0,139,-32
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141213,0,0,0,156,-21
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141214,0,0,0,144,-16
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141215,0,0,0,156,-10
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141216,81,0,0,111,28
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141217,0,0,0,156,39
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141218,0,0,0,106,-5
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141219,0,0,0,111,22
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141220,18,0,0,39,-5
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141221,0,0,0,100,33
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141222,102,0,0,50,22
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141223,229,0,0,83,28
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141224,434,0,0,189,78
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141225,8,0,0,178,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141226,0,0,0,144,-10
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141227,0,0,0,167,-5
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141228,3,0,0,161,89
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141229,183,0,0,128,50
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141230,5,0,0,50,-21
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20141231,0,0,0,78,-32
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150101,0,0,0,106,-49
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150102,0,0,0,122,50
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150103,41,0,0,106,78
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150104,74,0,0,206,94
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150105,0,0,0,133,0
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150106,0,0,0,128,-32
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150107,0,0,0,39,-88
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150108,0,0,0,-27,-116
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150109,0,0,0,72,-55
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150110,0,0,0,39,-55
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150111,0,0,0,94,-82
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150112,328,0,0,89,22
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150113,8,0,0,67,-5
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150114,3,0,0,6,-21
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150115,0,0,0,50,-5
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150116,0,0,0,117,-10
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150117,0,0,0,106,-27
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150118,124,0,0,156,50
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150119,0,0,0,172,-5
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150120,0,0,0,194,39
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150121,0,0,0,122,22
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150122,0,0,0,150,-10
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150123,170,0,0,50,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150124,36,0,0,94,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150125,0,0,0,128,-16
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150126,61,0,0,100,33
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150127,3,0,0,67,-10
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150128,0,0,0,78,-38
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150129,5,0,0,83,-49
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150130,0,0,0,89,-16
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150131,0,0,0,89,-55
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150201,0,0,0,139,0
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150202,99,0,0,167,-16
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150203,0,0,0,72,-55
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150204,0,0,0,122,-38
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150205,0,0,0,100,-27
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150206,0,0,0,56,-82
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150207,0,0,0,156,-32
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150208,0,0,0,222,39
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150209,102,0,0,167,72
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150210,43,0,0,72,22
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150211,0,0,0,106,-10
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150212,0,0,0,122,-16
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150213,0,0,0,17,-49
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150214,0,0,0,117,-55
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150215,0,0,0,-16,-93
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150216,56,0,8,-27,-71
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150217,99,30,18,17,-71
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150218,15,0,10,44,-71
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150219,0,0,0,-49,-110
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150220,0,0,0,-32,-138
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150221,0,0,0,44,-77
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150222,20,0,0,139,11
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150223,8,0,-9999,83,-10
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150224,23,0,36,-10,-71
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150225,91,30,48,78,-77
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150226,183,100,81,17,-21
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150227,0,80,0,72,-49
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150228,0,30,0,28,-32
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150301,170,30,0,17,-21
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150302,0,0,0,161,11
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150303,18,0,0,61,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150304,5,0,0,239,33
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150305,246,0,0,189,0
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150306,0,0,0,28,-43
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150307,0,0,0,144,-66
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150308,0,0,0,217,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150309,0,0,0,183,89
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150310,0,0,0,239,100
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150311,28,0,0,244,150
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150312,0,0,0,189,94
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150313,5,0,-9999,117,56
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150314,76,0,0,167,72
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150315,0,0,0,228,89
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150316,0,0,0,267,50
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150317,0,0,0,278,83
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150318,0,0,0,156,39
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150319,86,0,0,122,44
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150320,79,0,-9999,106,44
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150321,0,0,0,183,44
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150322,0,0,0,189,83
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150323,0,0,0,144,61
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150324,0,0,0,194,22
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150325,0,0,0,194,83
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150326,33,0,0,239,139
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150327,46,0,-9999,189,44
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150328,0,0,0,78,0
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150329,0,0,0,111,-55
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150330,41,0,0,189,50
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150331,0,0,0,233,17
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150401,0,0,0,189,83
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150402,0,0,0,233,39
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150403,0,0,0,283,161
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150404,0,0,0,228,61
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20150405,0,0,0,200,6
