STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100101,4,20,53,13,0,13,0,349,212,92,32,0,0,0,0,0,463,128,527,399,51,66,61,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100102,4,20,53,26,0,26,0,350,212,92,32,0,0,0,0,0,464,128,527,400,51,67,61,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100103,4,19,53,39,0,39,0,350,212,92,33,0,0,0,0,0,464,128,528,400,51,67,61,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100104,4,19,53,51,0,51,0,351,212,92,33,0,0,0,0,0,464,128,528,400,51,67,61,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100105,4,19,52,64,0,64,0,352,212,92,33,0,0,0,0,0,465,128,528,401,51,68,61,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100106,4,19,52,76,0,76,0,352,212,91,33,0,0,0,0,0,465,128,529,401,50,68,61,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100107,4,18,52,89,0,89,0,352,212,91,33,0,0,0,0,0,466,128,530,401,50,68,61,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100108,4,18,52,102,0,102,0,352,211,91,33,0,0,0,0,0,466,129,531,402,50,68,60,60
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100109,4,18,52,115,0,115,0,352,211,90,33,0,0,0,0,0,467,129,531,402,49,68,60,60
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100110,4,18,52,129,0,129,0,352,212,90,33,0,0,0,0,0,468,130,532,403,49,69,60,60
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100111,4,18,51,143,0,143,0,352,212,90,33,0,0,0,0,0,468,130,534,403,49,69,60,60
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20100112,4,18,51,157,0,157,0,353,212,90,33,0,0,0,0,0,469,131,535,404,48,69,59,59
