STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141101,5,-9999,-9999,200,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141102,0,-9999,-9999,194,78
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141103,0,-9999,0,206,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141104,0,-9999,-9999,211,67
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141105,0,-9999,0,239,89
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141106,0,-9999,0,261,106
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141107,0,-9999,-9999,244,94
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141108,0,-9999,-9999,256,94
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141109,0,-9999,-9999,261,94
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141110,0,-9999,-9999,256,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141111,0,-9999,-9999,183,111
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141112,0,-9999,-9999,200,94
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141113,51,-9999,-9999,167,128
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141114,3,-9999,-9999,194,117
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141115,0,-9999,-9999,194,89
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141116,0,-9999,0,172,72
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141117,0,-9999,0,189,44
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141118,0,-9999,0,167,44
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141119,25,-9999,0,150,89
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141120,58,-9999,-9999,128,106
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141121,0,-9999,-9999,144,106
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141122,36,-9999,-9999,150,106
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141123,0,-9999,-9999,150,72
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141124,0,-9999,-9999,178,44
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141125,0,-9999,-9999,183,56
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141126,0,-9999,0,206,50
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141127,0,-9999,-9999,211,78
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141128,58,-9999,-9999,200,50
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141129,46,-9999,-9999,161,117
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141130,43,-9999,-9999,139,117
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141201,0,-9999,-9999,183,106
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141202,157,-9999,-9999,144,111
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141203,467,-9999,-9999,183,144
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141204,0,-9999,-9999,206,133
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141205,38,-9999,-9999,194,133
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141206,10,-9999,-9999,211,133
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141207,0,-9999,-9999,167,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141208,0,-9999,-9999,178,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141209,0,-9999,-9999,161,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141210,0,-9999,-9999,144,106
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141211,533,-9999,-9999,167,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141212,152,-9999,-9999,122,89
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141213,0,-9999,-9999,139,67
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141214,0,-9999,-9999,117,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141215,140,-9999,-9999,128,89
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141216,185,-9999,-9999,167,94
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141217,18,-9999,-9999,139,89
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141218,0,-9999,-9999,167,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141219,216,-9999,-9999,128,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141220,0,-9999,-9999,144,111
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141221,0,-9999,-9999,183,128
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141222,0,-9999,-9999,161,100
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141223,0,-9999,-9999,183,83
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141224,20,-9999,-9999,150,89
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141225,0,-9999,-9999,139,50
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141226,0,-9999,-9999,139,39
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141227,0,-9999,-9999,133,11
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141228,0,-9999,-9999,139,28
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141229,0,-9999,-9999,89,28
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141230,0,-9999,-9999,133,28
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20141231,0,-9999,-9999,128,17
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150101,0,-9999,0,111,-10
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150102,0,-9999,0,106,-10
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150103,0,-9999,0,133,-5
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150104,0,-9999,0,139,17
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150105,0,-9999,0,150,17
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150106,0,-9999,0,167,28
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150107,0,-9999,0,189,39
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150108,0,-9999,-9999,178,44
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150109,0,-9999,0,144,72
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150110,0,-9999,0,183,83
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150111,0,-9999,0,178,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150112,0,-9999,0,172,67
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150113,0,-9999,-9999,156,44
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150114,0,-9999,0,133,39
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150115,0,-9999,-9999,144,50
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150116,0,-9999,0,122,67
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150117,0,-9999,0,122,89
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150118,0,-9999,0,122,78
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150119,3,-9999,-9999,133,94
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150120,0,-9999,0,150,72
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150121,0,-9999,0,144,61
GHCND:USW00023271,SACRAMENTO 5 ESE CA US,20150122,0,-9999,0,128,56
