STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141101,0,-9999,-9999,217,100
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141102,0,-9999,-9999,261,111
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141103,0,-9999,-9999,250,183
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141104,371,-9999,-9999,278,150
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141105,236,-9999,-9999,156,139
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141106,18,-9999,-9999,172,133
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141107,0,-9999,-9999,200,144
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141108,0,-9999,-9999,250,117
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141109,0,-9999,-9999,233,78
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141110,0,-9999,-9999,261,78
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141111,0,-9999,-9999,189,78
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141112,0,-9999,-9999,117,44
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141113,0,-9999,-9999,67,22
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141114,0,-9999,-9999,83,22
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141115,3,-9999,-9999,89,44
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141116,0,-9999,-9999,128,28
GHCND:USW00012970,SAN ANTONIO STINSON MUNICIPAL AIRPORT TX US,20141117,0,-9999,-9999,128,6
