STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100101,3,2,3,10,5,9,21,8,18,6,5,6,5,447,226,17,1,571,108,406,296,330,165,-9999,46,18,273,98,322,224,91,51,82,104
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100102,3,2,3,9,5,9,21,8,18,13,10,13,10,447,225,16,1,570,111,407,297,329,164,-9999,46,18,274,97,323,226,90,51,82,104
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100103,3,2,3,9,5,9,21,8,18,20,14,20,14,446,224,16,1,568,113,408,298,328,163,-9999,45,17,276,97,324,227,90,51,81,103
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100104,3,2,3,9,5,9,21,9,18,26,19,26,19,445,222,15,1,565,115,407,299,326,162,-9999,44,17,277,97,326,229,89,51,81,103
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100105,3,2,3,9,5,9,20,9,18,32,24,32,24,444,221,14,1,563,117,407,299,324,160,-9999,43,17,279,97,327,231,89,51,81,102
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100106,3,2,3,9,5,9,20,9,18,39,28,39,28,442,219,14,1,560,119,406,299,321,158,-9999,43,16,281,96,329,233,88,51,80,102
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100107,3,2,3,9,5,9,20,9,18,45,33,45,33,441,217,13,1,557,121,405,298,319,157,-9999,42,16,282,96,330,234,87,51,80,101
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100108,3,2,3,9,5,9,20,9,18,51,37,51,37,439,215,13,1,554,122,403,298,316,155,-9999,41,16,284,96,332,236,87,51,79,100
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100109,3,2,3,9,5,9,20,9,18,58,42,58,42,437,213,13,1,551,123,402,296,313,153,-9999,40,15,286,95,334,238,86,51,79,100
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100110,3,2,3,9,5,9,20,9,18,64,47,64,47,435,211,13,1,548,124,400,294,310,151,0,39,14,288,95,335,240,86,51,78,99
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100111,3,2,3,9,5,9,20,9,18,71,51,71,51,432,209,12,1,545,124,398,291,307,148,0,38,14,289,95,337,242,85,52,78,99
GHCND:USW00024157,SPOKANE INTERNATIONAL AIRPORT WA US,20100112,3,2,3,9,5,9,20,9,18,77,56,77,56,430,207,12,1,542,125,396,288,304,146,0,37,13,291,95,338,244,85,52,78,99
