STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141101,3,0,0,89,33
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141102,0,0,0,78,28
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141103,0,0,0,161,17
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141104,0,0,0,206,56
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141105,0,0,-9999,161,61
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141106,25,0,0,100,61
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141107,10,0,0,89,-5
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141108,0,0,-9999,94,-21
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141109,0,0,-9999,111,28
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141110,0,0,0,161,0
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141111,0,0,0,172,33
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141112,0,0,0,139,6
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141113,0,0,0,56,-21
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141114,0,0,0,50,-32
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141115,0,0,-9999,39,-32
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141116,0,0,0,50,-43
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141117,175,0,0,50,0
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141118,0,0,0,0,-66
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141119,0,0,0,-10,-88
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141120,0,0,0,22,-43
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141121,0,0,0,22,-66
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141122,5,0,0,28,-105
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141123,13,0,0,111,-5
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141124,185,0,0,206,89
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141125,0,0,0,156,6
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141126,124,0,122,28,-5
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141127,8,100,8,22,-16
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141128,0,50,0,11,-66
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141129,0,50,0,17,-71
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141130,0,0,0,72,17
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141201,0,0,0,106,11
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141202,124,0,10,11,-43
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141203,8,0,0,56,11
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141204,0,0,0,33,-43
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141205,81,0,0,28,-49
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141206,201,0,0,50,22
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141207,0,0,0,50,-38
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141208,0,0,0,6,-55
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141209,13,0,0,67,-5
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141210,15,0,18,50,-16
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141211,53,80,74,11,-21
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141212,0,80,0,22,-5
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141213,0,30,0,28,-5
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141214,0,0,0,72,17
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141215,0,0,0,50,33
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141216,23,0,0,67,39
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141217,0,0,0,83,11
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141218,0,0,0,28,6
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141219,0,0,0,33,-5
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141220,0,0,0,11,-10
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141221,0,0,0,22,-55
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141222,28,0,0,22,-71
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141223,30,0,0,83,6
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141224,61,0,-9999,117,72
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141225,18,0,0,128,44
GHCND:USW00014778,WILLIAMSPORT LYCOMING CO AIRPORT PA US,20141226,0,0,0,94,-27
