STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130101,0,-9999,-9999,0,-94
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130102,-9999,-9999,-9999,-44,-167
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130103,0,-9999,0,0,-161
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130104,13,0,-9999,0,-94
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130105,5,0,-9999,22,-117
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130106,0,-9999,-9999,22,-100
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130107,0,-9999,0,17,-133
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130108,0,-9999,0,50,-100
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130109,18,-9999,0,100,-22
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130110,135,0,-9999,106,-33
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130111,188,0,0,150,106
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130112,447,0,0,172,50
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130113,132,0,-9999,50,-61
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130114,0,0,0,-44,-83
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130115,0,0,0,-11,-78
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130116,0,0,0,11,-50
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130117,0,0,0,44,-39
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130118,0,0,0,39,-72
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130119,0,0,0,117,22
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130120,0,0,0,67,-50
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130121,0,0,-9999,-50,-117
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130122,0,0,0,-78,-144
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130123,0,0,0,6,-106
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130124,0,0,0,-28,-111
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130125,5,-9999,-9999,0,-67
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130126,3,0,-9999,6,-89
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130127,51,-9999,-9999,56,-72
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130128,51,0,0,128,50
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130129,5,0,0,194,117
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130130,363,0,-9999,189,-33
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130131,0,0,-9999,-11,-117
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130201,0,-9999,-9999,-72,-139
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130202,0,-9999,-9999,-6,-72
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130203,0,-9999,-9999,-17,-106
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130204,15,0,-9999,56,-100
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130205,0,-9999,0,44,-61
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130206,0,-9999,0,39,-11
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130207,36,0,0,150,-22
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130208,0,0,0,39,-11
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130209,0,0,0,61,-11
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130210,89,0,0,111,17
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130211,0,0,-9999,117,6
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130212,0,0,0,67,-39
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130213,0,0,0,78,-11
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130214,0,0,0,111,-6
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130215,0,0,-9999,22,-44
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130216,0,0,0,-22,-67
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130217,0,0,0,17,-100
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130218,102,0,0,144,-11
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130219,0,0,-9999,39,-50
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130220,0,0,-9999,-33,-106
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130221,0,0,-9999,0,-100
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130222,-9999,0,-9999,33,-17
GHCND:USW00093823,TERRE HAUTE HULMAN REGIONAL AIRPORT IN US,20130223,0,0,0,22,-56
